author,title,journal,volume,number,pages,year,publisher,doi
Justin Spencer and Eileen King,A Case for Creative Coding,Connected Science Learning,3,2,12318681,2021,Routledge,10.1080/24758779.2021.12318681
"Rieke Ammoneit, Christoph Reudenbach and Carina Peter",Developing geographic computer modeling competencies in higher education,Journal of Geography in Higher Education,48,3,345--367,2024,Routledge,10.1080/03098265.2023.2250991
Duk Gyoo Kim and Ahram Moon,From helping hand to stumbling block: the ChatGPT paradox in competency experiment,Applied Economics Letters,0,0,1--5,2024,Routledge,10.1080/13504851.2024.2337330
"Francesca M. Mellieon-Williams, Nastassia N. Jones and Ingrid Cruz",STEM Outreach: Traditional vs Virtual Summer Programming,Connected Science Learning,3,2,12318682,2021,Routledge,10.1080/24758779.2021.12318682
"Cecily Morrison, Nicolas Villar, Anja Thieme, Zahra Ashktorab, Eloise Taysom, Oscar Salandin, Daniel Cletheroe, Greg Saul, Alan F Blackwell, Darren Edge, Martin Grayson and Haiyan Zhang",Torino: A Tangible Programming Language Inclusive of Children with Visual Disabilities,Human–Computer Interaction,35,3,191--239,2020,Taylor \& Francis,10.1080/07370024.2018.1512413
Dafni Konstantinidi-Sofrona,Evaluation of Computing Workshops at the Science Museum,Connected Science Learning,3,2,12318686,2021,Routledge,10.1080/24758779.2021.12318686
Nikolaos Pellas and Efstratios Peroutseas,Leveraging Scratch4SL and Second Life to motivate high school students’ participation in introductory programming courses: findings from a case study,New Review of Hypermedia and Multimedia,23,1,51--79,2017,Taylor \& Francis,10.1080/13614568.2016.1152314
Florence R. Sullivan and John Heffernan,Robotic Construction Kits as Computational Manipulatives for Learning in the STEM Disciplines,Journal of Research on Technology in Education,48,2,105--128,2016,Routledge,10.1080/15391523.2016.1146563
Andrea A. diSessa,Computational Literacy and “The Big Picture” Concerning Computers in Mathematics Education,Mathematical Thinking and Learning,20,1,3--31,2018,Routledge,10.1080/10986065.2018.1403544
"Vance Kite, Soonhye Park, Katherine McCance and Elsun Seung",Secondary Science Teachers’ Understandings of the Epistemic Nature of Science Practices,Journal of Science Teacher Education,32,3,243--264,2021,Routledge,10.1080/1046560X.2020.1808757
Ugur Kale and Mete Akcaoglu,Problem Solving and Teaching How to Solve Problems in Technology-Rich Contexts,Peabody Journal of Education,95,2,127--138,2020,Routledge,10.1080/0161956X.2020.1745612
"Tuba Ketenci, Brendan Calandra, Lauren Margulieux and Jonathan Cohen",The Relationship Between Learner Characteristics and Student Outcomes in a Middle School Computing Course: An Exploratory Analysis Using Structural Equation Modeling,Journal of Research on Technology in Education,51,1,63--76,2019,Routledge,10.1080/15391523.2018.1553024
"Dana Christensen, Adam Aguiar and Jared Handelman",Comparisons of Morone saxatilis catch variables from a research effort intended to bridge the scientific and angling communities: From the lens of environmental sustainability education,Sustainable Environment,10,1,2391615,2024,Taylor \& Francis,10.1080/27658511.2024.2391615
"Joanne Caniglia, Michelle Meadows, Davison Mupinga and Katrina Halasa",Teacher’s Toolkit: Closing the Achievement Gap by Bringing STEM Kits Home,Science Scope,44,5,10--15,2021,Routledge,10.1080/08872376.2021.12291410
Arthur Louis Odom and Clare V. Bell,Shaking Out Probability,Science Scope,44,5,38--45,2021,Routledge,10.1080/08872376.2021.12291413
Bob Riddle,Scope on the Skies: Earth Watch,Science Scope,44,5,72--78,2021,Routledge,10.1080/08872376.2021.12291418
Jill Nugent,Citizen Science: Conservation Cameras: From the Wild to Your Classroom,Science Scope,44,5,61--63,2021,Routledge,10.1080/08872376.2021.12291416
Boyan Kostadinov,Simulation Insights Using R,PRIMUS,23,3,208--223,2013,Taylor \& Francis,10.1080/10511970.2012.718729
Hanan Alyami and Paul Asunda,Oil Spill eSTEMation: Using Mathematical Estimation and Modelling to Rescue Our Oceans,Science Scope,44,5,28--36,2021,Routledge,10.1080/08872376.2021.12291412
Katherine Carman and Jerrid Kruse,The Energy Zipline,Science Scope,44,5,46--52,2021,Routledge,10.1080/08872376.2021.12291414
Rachelle Dene Poth,Preparing for Our Future,Journal of Digital Learning in Teacher Education,36,1,2--3,2020,Routledge,10.1080/21532974.2019.1685340
Andrew Hoegh,Why Bayesian Ideas Should Be Introduced in the Statistics Curricula and How to Do So,Journal of Statistics Education,28,3,222--228,2020,Taylor \& Francis,10.1080/10691898.2020.1841591
"Debra Bernstein, Karen Mutch-Jones, Michael Cassidy and Emily Hamner",Teaching with robotics: creating and implementing integrated units in middle school subjects,Journal of Research on Technology in Education,54,2,161--176,2022,Routledge,10.1080/15391523.2020.1816864
Pekka Kilpeläinen,Do all roads lead to Rome? (Or reductions for dummy travelers),Computer Science Education,20,3,181--199,2010,Routledge,10.1080/08993408.2010.501226
Liat Bodaker and Rinat B. Rosenberg-Kima,Online pair-programming: elementary school children learning scratch together online,Journal of Research on Technology in Education,55,5,799--816,2023,Routledge,10.1080/15391523.2022.2036653
Vanora Thomas and Peta-Gay Clarke,Encouraging Student Persistence,Connected Science Learning,3,2,12318684,2021,Routledge,10.1080/24758779.2021.12318684
Megan Hopkins and Hayley Weddle,Computer science for secondary multilingual learners: how school policies and practices enable and constrain equitable access,Journal of Research on Technology in Education,0,0,1--15,2024,Routledge,10.1080/15391523.2024.2398527
"Jill Denner, Linda Werner, Shannon Campe and Eloy Ortiz",Pair Programming: Under What Conditions Is It Advantageous for Middle School Students?,Journal of Research on Technology in Education,46,3,277--296,2014,Routledge,10.1080/15391523.2014.888272
"O.E. Holo, E.N. Kveim, M.S. Lysne, L.H. Taraldsen and F.O. Haara",A review of research on teaching of computer programming in primary school mathematics: moving towards sustainable classroom action,Education Inquiry,14,4,513--528,2023,Routledge,10.1080/20004508.2022.2072575
Christine G. Schnittka and Mark A. Brenneman,Where’s the Peanut Butter? Journaling about Science Practices in Everyday Life,Journal of Science Teacher Education,0,0,1--19,2024,Routledge,10.1080/1046560X.2024.2391639
"Suhkyung Shin, Jongpil Cheon and Sungwon Shin",Teachers’ Perceptions of First-Year Implementation of Computer Science Curriculum in Middle School: How We Can Support CS Initiatives,Computers in the Schools,38,2,98--124,2021,Routledge,10.1080/07380569.2021.1911540
Michael Lachney,Computational communities: African-American cultural capital in computer science education,Computer Science Education,27,3-4,175--196,2017,Routledge,10.1080/08993408.2018.1429062
Sepehr Vakil,A Critical Pedagogy Approach for Engaging Urban Youth in Mobile App Development in an After-School Program,Equity \& Excellence in Education,47,1,31--45,2014,Routledge,10.1080/10665684.2014.866869
Helen Melander Bowden,"Problem-solving in collaborative game design practices: epistemic stance, affect, and engagement","Learning, Media and Technology",44,2,124--143,2019,Routledge,10.1080/17439884.2018.1563106
Ben Williamson,"Governing methods: policy innovation labs, design and data science in the digital governance of education",Journal of Educational Administration and History,47,3,251--271,2015,Routledge,10.1080/00220620.2015.1038693
"Madhu Govind, Emily Relkin and Marina Umaschi Bers",Engaging Children and Parents to Code Together Using the ScratchJr App,Visitor Studies,23,1,46--65,2020,Routledge,10.1080/10645578.2020.1732184
Clifford H. Lee and Elisabeth Soep,None But Ourselves Can Free Our Minds: Critical Computational Literacy as a Pedagogy of Resistance,Equity \& Excellence in Education,49,4,480--492,2016,Routledge,10.1080/10665684.2016.1227157
"Michael Lachney, Madison C. Allen Kuyenga, Jada Phelps, Aman Yadav and Matt Drazin",“Everybody’s searching their roots”: centering Black nature-cultures of belonging in non-compulsory computer science education,Computer Science Education,0,0,1--35,2023,Routledge,10.1080/08993408.2023.2268378
Mary Lynn Young and Alfred Hermida,From Mr. and Mrs. Outlier To Central Tendencies,Digital Journalism,3,3,381--397,2015,Routledge,10.1080/21670811.2014.976409
"Ching-Yi Chang, Hsiu-Ju Jen and Jie Chi Yang",Integrating scenario game-based learning with the experiential learning strategy to facilitate nursing students’ learning performance and core competencies in labor support training,Interactive Learning Environments,0,0,1--16,2024,Routledge,10.1080/10494820.2024.2308092
Marie Fridberg and Andreas Redfors,Teachers’ and children’s use of words during early childhood STEM teaching supported by robotics,International Journal of Early Years Education,32,2,405--419,2024,Routledge,10.1080/09669760.2021.1892599
"Nicole Panorkou, Toni York and Erell Germia",Using Debugging as a Platform for Transdisciplinary Learning,Cognition and Instruction,42,1,124--158,2024,Routledge,10.1080/07370008.2023.2270094
"Min-Chi Chiu, Gwo-Jen Hwang and Yun-Fang Tu","Roles, applications, and research designs of robots in science education: a systematic review and bibliometric analysis of journal publications from 1996 to 2020",Interactive Learning Environments,32,5,1834--1859,2024,Routledge,10.1080/10494820.2022.2129392
Helen Douglass and Geeta Verma,Examining STEM Teaching at the Intersection of Informal and Formal Spaces: Exploring Science Pre-service Elementary Teacher Preparation,Journal of Science Teacher Education,33,3,247--261,2022,Routledge,10.1080/1046560X.2021.1911456
"Qing Guo, Yanting He, Yuqing Chen and Cuilan Qiao",Design and application of computational modeling in science education research: a systematic review,Interactive Learning Environments,0,0,1--24,2024,Routledge,10.1080/10494820.2024.2372832
"STAN OPENSHAW, MARTIN CHARLTON, COLIN WYMER and ALAN CRAFT",A Mark 1 Geographical Analysis Machine for the automated analysis of point data sets,International journal of geographical information systems,1,4,335--358,1987,Taylor \& Francis,10.1080/02693798708927821
Emma Edstrand and Jeanette Sjöberg,Professional digital competence (PDC) in teacher education – teacher candidates reasoning about programming when involved in problem-solving activities with digital tools,Journal of Digital Learning in Teacher Education,39,3,132--144,2023,Routledge,10.1080/21532974.2023.2210317
"Xinyuan Wang, Qian Xing, Qiao Jin and Danli Wang",“Be a Lighting Programmer”: Supporting Children Collaborative Learning through Tangible Programming System,International Journal of Human–Computer Interaction,40,10,2622--2640,2024,Taylor \& Francis,10.1080/10447318.2022.2163783
Hanna Kim,Effects of Science and Engineering Practices on Science Achievement and Attitudes of Diverse Students including ELLs,NABE Journal of Research and Practice,6,1,231--253,2015,Routledge,10.1080/26390043.2015.12067789
"Alesia Mickle Moldavan, Bailey Nafziger and Katie Brkich",A Bird Beak Data Buffet,Science and Children,61,3,74--78,2024,Routledge,10.1080/00368148.2024.2340791
Helen Melander Bowden and Pål Aarsand,Designing and assessing digital games in a classroom: an emerging culture of critique,"Learning, Media and Technology",45,4,376--394,2020,Routledge,10.1080/17439884.2020.1727500
"Amy Tankersley, Elizabeth Hasseler, Elizabeth Lewis, Lyrica Lucas and Brandon Helding",Science Teachers’ Initial Use of NGSS Science Practices in Diverse Classrooms,Journal of Science Teacher Education,35,6,572--593,2024,Routledge,10.1080/1046560X.2024.2316434
Kajsa Bråting and Cecilia Kilhamn,The Integration of Programming in Swedish School Mathematics: Investigating Elementary Mathematics Textbooks,Scandinavian Journal of Educational Research,66,4,594--609,2022,Routledge,10.1080/00313831.2021.1897879
Olgun Sadik and Anne Todd Ottenbreit-Leftwich,Understanding U.S. secondary computer science teachers’ challenges and needs,Computer Science Education,34,2,252--284,2024,Routledge,10.1080/08993408.2023.2209474
Heidi Masters and Jennifer Docktor,Preservice Teachers’ Abilities and Confidence with Constructing Scientific Explanations as Scaffolds are Faded in a Physics Course for Educators,Journal of Science Teacher Education,33,7,786--813,2022,Routledge,10.1080/1046560X.2021.2004641
"Emily J. S. Kang, Corinne Donovan and Mary Jean McCarthy",Exploring Elementary Teachers’ Pedagogical Content Knowledge and Confidence in Implementing the NGSS Science and Engineering Practices,Journal of Science Teacher Education,29,1,9--29,2018,Routledge,10.1080/1046560X.2017.1415616
"Susanne Kjällander, Anna Åkerfeldt, Linda Mannila and Peter Parnes",Makerspaces Across Settings: Didactic Design for Programming in Formal and Informal Teacher Education in the Nordic Countries,Journal of Digital Learning in Teacher Education,34,1,18--30,2018,Routledge,10.1080/21532974.2017.1387831
Elizabeth de Freitas,"Number sense and the calculating child: Measure, multiplicity and mathematical monsters",Discourse: Studies in the Cultural Politics of Education,37,5,650--661,2016,Routledge,10.1080/01596306.2015.1075703
Craig S. Miller,Metonymy and reference-point errors in novice programming,Computer Science Education,24,2-3,123--152,2014,Routledge,10.1080/08993408.2014.952500
Tyler S. Love,Examining middle school students’ attitudes toward computing after participating in a physical computing unit,Interactive Learning Environments,0,0,1--20,2023,Routledge,10.1080/10494820.2023.2194326
"Joy Ajayi, Emmanuel Adetiba, Ayodele H. Ifijeh, Abdultaofeek Abayomi, John Wejin, Surendra Thakur and Sibusiso Moyo",LogicHouse-v1: a digital game-based learning tool for enhanced teaching of digital electronics in higher education institutions,Cogent Engineering,11,1,2322814,2024,Cogent OA,10.1080/23311916.2024.2322814
"Yi-Chun Chen, Hsin-Kai Wu and Ching-Ting Hsin",A systematic review of assessments for young children’s scientific and engineering practices,Research in Science \& Technological Education,42,3,658--677,2024,Routledge,10.1080/02635143.2022.2121693
Berit Bungum and Erik Mogstad,Building and programming a weather station: Teachers’ views on values and challenges in a comprehensive STEM project,Research in Science \& Technological Education,42,2,450--466,2024,Routledge,10.1080/02635143.2022.2103108
"YungYu Zhuang, Yu-Hsuan Lin, Mahesh Liyanawatta, Andito Haryo Saputro, Yuniati Dwi Utami and Jen-Hang Wang",An interactive programming learning environment supporting paper computing and immediate evaluation for making thinking visible and traceable,Interactive Learning Environments,0,0,1--14,2023,Routledge,10.1080/10494820.2023.2212709
"Andrew Zieffler, Nicola Justice, Robert delMas and Michael D. Huberty",The Use of Algorithmic Models to Develop Secondary Teachers’ Understanding of the Statistical Modeling Process,Journal of Statistics and Data Science Education,29,1,131--147,2021,Taylor \& Francis,10.1080/26939169.2021.1900759
"Eva María Olmedo-Moreno, Jorge Expósito López, José Javier Romero-Díaz de la Guardia, María del Carmen Olmos-Gómez, Micaela Sánchez-Martín and Ramón Chacón-Cuberos",Academic self-efficacy and future work skills in unaccompanied foreign minors: structural equation analysis according to residence time,European Journal of Social Work,25,4,681--695,2022,Routledge,10.1080/13691457.2021.1882394
"Chen Chen, Gerhard Sonnert, Philip M. Sadler and David J. Malan",Foreseeing the endgame: who are the students who take the final exam at the beginning of a MOOC?,Behaviour \& Information Technology,40,6,565--577,2021,Taylor \& Francis,10.1080/0144929X.2019.1711452
Ashley Lewis Presser and Jessica Mercer Young,Preschool Data Scientists,Science and Children,61,3,25--33,2024,Routledge,10.1080/00368148.2024.2340790
"Lin Wang, Donglin Shi, Fengji Geng, Xiaoxin Hao, Fu Chanjuan and Yan Li",Effects of cognitive control strategies on coding learning outcomes in early childhood,The Journal of Educational Research,115,2,133--145,2022,Routledge,10.1080/00220671.2022.2074946
Bertrand Schneider and Tonya Bryant,Using Mobile Dual Eye-Tracking to Capture Cycles of Collaboration and Cooperation in Co-located Dyads,Cognition and Instruction,42,1,26--55,2024,Routledge,10.1080/07370008.2022.2157418
Claudia McLaughlin Ludwig,Heat Maps as a Fun and Instructive Way to Gauge Student Perceptions on Skill Development,Connected Science Learning,5,5,12318611,2023,Routledge,10.1080/24758779.2023.12318611
"Chantal Buteau, Ghislaine Gueudet, Eric Muller, Joyce Mgombelo and Ana Isabel Sacristán",University students turning computer programming into an instrument for ‘authentic’ mathematical work,International Journal of Mathematical Education in Science and Technology,51,7,1020--1041,2020,Taylor \& Francis,10.1080/0020739X.2019.1648892
Marta Molina and John Mason,Justifications-on-Demand as a Device to Promote Shifts of Attention Associated With Relational Thinking in Elementary Arithmetic,"Canadian Journal of Science, Mathematics and Technology Education",9,4,224--242,2009,Routledge,10.1080/14926150903191885
Dana Atwood-Blaine and Chepina Rumsey,Cicada Game,Science and Children,61,3,34--41,2024,Routledge,10.1080/00368148.2024.2340799
"Lindiwe C. Mngadi, Diego F. Cuadros, Frank Tanser, Jonathan K. Burns, Rob Slotow and Andrew Tomita","Water, sanitation and depression in rural communities: evidence from nationally representative study data in South Africa","Psychology, Health \& Medicine",28,9,2441--2449,2023,Taylor \& Francis,10.1080/13548506.2023.2179643
"Rimma Nyman, Kajsa Bråting and Cecilia Kilhamn",Can programming support mathematics learning? An analysis of Swedish lower secondary textbooks,International Journal of Mathematical Education in Science and Technology,0,0,1--19,2024,Taylor \& Francis,10.1080/0020739X.2024.2329345
"Golnaz Arastoopour Irgens, Danielle Herro, Ashton Fisher, Ibrahim Adisa and Oluwadara Abimbade",Bop or Flop?: Integrating Music and Data Science in an Elementary Classroom,The Journal of Experimental Education,92,2,262--286,2024,Routledge,10.1080/00220973.2023.2201570
"Tejaswini Dalvi, Elaine Silva Mangiante and Kristen Wendell",Identifying Pre-service Teachers’ Conceptions about the NGSS Practices Using a Curriculum Critique and Revision (CCR) Task,Journal of Science Teacher Education,32,2,123--147,2021,Routledge,10.1080/1046560X.2020.1791465
"Judy Robertson, Andrew Manches and Helen Pain",“It's Like a Giant Brain With a Keyboard”: Children's Understandings About How Computers Work,Childhood Education,93,4,338--345,2017,Routledge,10.1080/00094056.2017.1343589
Thijs Willems and Connor Graham,The Imagination of Singapore’s Smart Nation as Digital Infrastructure: Rendering (Digital) Work Invisible,"East Asian Science, Technology and Society: An International Journal",13,4,511--536,2019,Routledge,10.1215/18752160-8005194
"Qing Guo, Di Wu, Sha Zhu and Harrison Hao Yang",Using a Digital Game to Assess Middle School Students’ Information Literacy: An Evidence-Centered Game Design Approach,International Journal of Human–Computer Interaction,0,0,1--19,2024,Taylor \& Francis,10.1080/10447318.2024.2398910
"Lauren Causey, Shannon McManimon and Emily Poster",Modeling Collaboration for Learning,Connected Science Learning,1,2,12420465,2016,Routledge,10.1080/24758779.2016.12420465
Ali Ekber Cinar,The language of the law vs. the language of the computer: a bilingual model of legal education in the age of technology and artificial intelligence,"Law, Innovation and Technology",0,0,1--41,2024,Routledge,10.1080/17579961.2024.2392938
"Kristin L. Gunckel, Beth A. Covitt, Garrett Love, Judith A. Cooper-Wagoner and Dan Moreno",Unplugged to Plugged In,The Science Teacher,89,3,46--51,2022,Routledge,10.1080/00368555.2022.12293668
Brian Dorn and Jan Vahrenhold,Editorial,Computer Science Education,32,4,385--387,2022,Routledge,10.1080/08993408.2022.2148962
Muhsin Menekse,Computer science teacher professional development in the United States: a review of studies published between 2004 and 2014,Computer Science Education,25,4,325--350,2015,Routledge,10.1080/08993408.2015.1111645
Brian Dorn and Jan Vahrenhold,Editorial,Computer Science Education,32,2,153--154,2022,Routledge,10.1080/08993408.2022.2085908
Victoria Woodard and Hollylynne Lee,How Students Use Statistical Computing in Problem Solving,Journal of Statistics and Data Science Education,29,sup1,S145--S156,2021,Taylor \& Francis,10.1080/10691898.2020.1847007
"Erin Peters Burton, Peter Rich, Timothy Cleary, Stephen Burton, Anastasia Kitsantas, Garrett Egan and Jordan Ellsworth",Thinking Big,The Science Teacher,87,6,30--36,2020,Routledge,10.1080/00368555.2020.12293504
"Sarah Nolting, Jesse Wilcox, Naryah Moore-Dilworth and Mackenzie Grenko",Shining a Light on the “T” in STEM,Science and Children,58,5,60--64,2021,Routledge,10.1080/19434812.2021.12291676
