title,journal,volume,pages,year,issn,doi,url,author,keywords,abstract
Enhancing campus OS community engagement through the miniOS pilot class: A nine-year journey,Future Generation Computer Systems,160,825-834,2024,0167-739X,https://doi.org/10.1016/j.future.2024.06.011,https://www.sciencedirect.com/science/article/pii/S0167739X24003042,Jianhua Gu and Mingxuan Liu and Tianhai Zhao,"Community engagement, Software engineering education, Operating system, Software engineering management","Recognized as the crown jewel of system software, Operating System (OS) is notoriously challenging to teach and learn, given its abstract concepts, broad scope, and the imperative for hands-on experience. How to cater to the keen interest in OS among students across all universities while providing a rich system software engineering experience? Engaging the OS community on campus plays a pivotal role in enhancing undergraduate education. Our institution has implemented a novel approach over the past nine years through the miniOS pilot class initiative. This program allows students enrolled in the OS course to opt into an additional, practical component where they engage in developing the OS kernel using miniOS, our teaching platform. Participants dedicate their spare time to a series of labs aimed at incrementally introducing them to miniOS, collaborate on a project to add a new functional module to miniOS, and ultimately present their work in a formal defense. This hands-on experience supplements the theoretical coursework, with the notable advantage that pilot class participants are exempt from the traditional final exam. Instead, their grade is determined by their contributions to the pilot class, with distinguished projects being integrated into the evolving miniOS kernel—a witness to the collective effort of each class. Since its inception in 2015, the miniOS pilot class has nurtured 182 undergraduates and 22 graduate students, contributing significantly to the OS community engagement on campus. Through this initiative, we have gleaned six key insights and six lessons, which we are eager to share with the broader educational community."
Role of automation in the examination of handwritten items,Pattern Recognition,47,1083-1095,2014,0031-3203,https://doi.org/10.1016/j.patcog.2013.09.032,https://www.sciencedirect.com/science/article/pii/S0031320313004044,Sargur N. Srihari and Kirsten Singer,"Handwriting examination, Forensic document examination, Writer verification, Writer identification, Computational forensics, Expert system validation","Several automation tools have been developed over the years for forensic document examination (FDE) of handwritten items. Integrating the developed tools into a unified framework is considered and the essential role of the human in the process is discussed. The task framework is developed by considering the approach of computational thinking whose components are abstraction, algorithms, mathematical models and ability to scale. Beginning with the human FDE procedure expressed in algorithmic form, mathematical and software implementations of individual steps of the algorithm are described. Advantages of the framework are discussed, including efficiency (ability to scale to tasks with many handwritten items), reproducibility and validation/improvement of existing manual procedures. It is indicated that as with other expert systems, such as for medical diagnosis, current automation tools are useful only as part of a larger manually intensive procedure. This viewpoint is illustrated with a well-known FDE case, concerning the Lindbergh kidnapping with a new hypothesis – in this case, there are multiple questioned documents, possibility of multiple writers of the same document, determining whether the writing is disguised, known writing is formal while questioned writing is informal, etc. Observations are made for future developments, where human examiners provide handwriting characteristics while computational methods provide the necessary statistical analysis."
Using Deep Packet Inspection Data to Examine Subscribers on the Network,Procedia Computer Science,215,182-191,2022,1877-0509,https://doi.org/10.1016/j.procs.2022.12.021,https://www.sciencedirect.com/science/article/pii/S1877050922020920,Mike Nkongolo and Jacobus Phillipus {van Deventer} and Sydney Mambwe Kasongo,"Deep packet inspection, machine learning, UGRansome, telecommunication, data science","This article proposes the creation of the deep packet inspection (DPI) dataset to study subscribers’ behavior on the network, applying ensemble learning to this dataset, and comparing it with the UGRansome dataset. The subscriber can be thought of as a person or a group of users using a network service or connectivity. The DPI features represent the subscriber network usage, and the ensemble learning approach is implemented on the DPI dataset to predict the subscriber's service category on the network. The classification and prediction problem addressed on the DPI dataset reached a precision of 100%. The paper predicts that the web and streaming categories with Netflix, Facebook, and YouTube services will be the most utilized in the next few years. This study will lead to a better understanding of the idiosyncratic behavior of active subscribers on the network, exposing novel network anomalies and facilitating the development of novel DPI systems."
The role of mental rotation in TetrisTM gameplay: An ACT-R computational cognitive model,Cognitive Systems Research,73,1-11,2022,1389-0417,https://doi.org/10.1016/j.cogsys.2021.12.005,https://www.sciencedirect.com/science/article/pii/S1389041721000991,Manuel Gentile and Antonio Lieto,"Cognitive architectures, ACT-R, Mental rotation, Tetris, Serious games design","The mental rotation ability is an essential spatial reasoning skill in human cognition and has proven to be an essential predictor of mathematical and STEM skills, critical and computational thinking. Despite its importance, little is known about when and how mental rotation processes are activated in games explicitly targeting spatial reasoning tasks. In particular, the relationship between spatial abilities and TetrisTM has been analysed several times in the literature. However, these analyses have shown contrasting results between the effectiveness of Tetris-based training activities to improve mental rotation skills. In this work, we studied whether, and under what conditions, such ability is used in the TetrisTM game by explicitly modelling mental rotation via an ACT-R based cognitive model controlling a virtual agent. The obtained results show meaningful insights into the activation of mental rotation during game dynamics. The study suggests the necessity to adapt game dynamics in order to force the activation of this process and, therefore, can be of inspiration to design learning activities based on TetrisTM or re-design the game itself to improve its educational effectiveness."
Game-based learning approach in computer science in primary education: A systematic review,Entertainment Computing,48,100616,2024,1875-9521,https://doi.org/10.1016/j.entcom.2023.100616,https://www.sciencedirect.com/science/article/pii/S187595212300071X,Maja Videnovik and Ana {Madevska Bogdanova} and Vladimir Trajkovik,"Educational game, Game-based learning, Computer science, Primary education","This paper reviews the current situation concerning the implementation of game-based learning in computer science in primary education, providing insight into current trends, identifying strengths and potential research topics. Articles published in four databases from 2017 to 2021 are included in the analysis and an in-depth analysis of 32 articles is done. Different types of games, implemented in various educational contexts, are presented in these articles. Most of them describe implemented methodology, game-based environment or are evaluating the effectiveness of the created game or the approach. The possibility of implementing a game-based approach while learning other computer science topics or measuring the effectiveness of learning by designing a game as a pedagogical strategy are some areas for future research."
Culture and computation: Steps to a Probably Approximately Correct theory of culture,Poetics,68,144-154,2018,0304-422X,https://doi.org/10.1016/j.poetic.2018.04.007,https://www.sciencedirect.com/science/article/pii/S0304422X17302292,Jacob G. Foster,"Culture, Cognition, Computation, Theory, Science","This paper outlines some provisional steps toward a theory of culture grounded in computational thinking. I begin by describing computational thinking, drawing on Marr’s hierarchy for the analysis of information processing systems. I then address the definition of culture, arguing that culture is a property of causal chains, rather than a thing-in-the-world. I briefly address contemporary debates over the nature of culture—embodied versus embedded—and argue for an ecological approach in which culture-in-action unfolds as embodied schemas recognize (and produce) “handles” in the environment. When schemas are “objectively adapted” to the handles, they generate action that is ecologically rational. To explain ecologically rational culture-in-action, I outline a formal approach to cultural learning based on Probably Approximately Correct (PAC)-learning theory. I illustrate my approach throughout with examples drawn from the sociology of science."
Assessing the intention to adopt computational intelligence in interactive marketing,Journal of Retailing and Consumer Services,78,103765,2024,0969-6989,https://doi.org/10.1016/j.jretconser.2024.103765,https://www.sciencedirect.com/science/article/pii/S0969698924000614,Rajat Kumar Behera and Pradip Kumar Bala and Nripendra P. Rana,"Computational intelligence, Interactive marketing, Adoption intention, E-commerce, E-Customer","Interactive marketing (IM) can be used by e-commerce businesses to provide interactive and personalised experiences to e-customers by building sustainable relationships and delivering value. Computational intelligence (CI) is the ability of a machine to learn specific tasks via data or experimental observation for understanding and analysing customer behavioural patterns. Thus, this study explores how e-customers may intend to adopt CI in e-commerce within the boundaries of IM. Using online surveys, the primary data were collected from 315 e-customers of e-commerce businesses. Subsequently, the quantitative approach was used to analyse the data. The finding reveals that using a variety of techniques such as fuzzy logic, learning theory, evolutionary computation, genetic algorithms, and deep learning, CI predicts e-customer behaviour in a changing environment. Such a prediction results in desirable impacts, including more successful IM campaigns and retention actions. Further, CI uses a computational thinking approach, including the specification of the problem, algorithmic expression, solution implementation, and solution evaluation, for the identification and classification of stock-keeping units. This allows e-customers to compare the attributes of similar products."
Teaching Computing to STEM Students via Visualization Tools,Procedia Computer Science,4,1937-1943,2011,1877-0509,https://doi.org/10.1016/j.procs.2011.04.211,https://www.sciencedirect.com/science/article/pii/S1877050911002699,Hongmei Chi and Harsh Jain,"Visualization, ChemSketch, ParaView, Computation ;STEM education","Information technology is evolving fast and steady over the years providing more and more tools for society to use. There is an increasing need and implementation of computation in the conduct of modern scientific research and experimentation. Computational thinking has been scarcely understood by STEM undergraduates if their majors are not computer sciences. We explore computation projects into existing courses via visualization computational tools to increase the number of STEM students who graduate with discipline specific computational skills. The goal of this paper was to report our efforts for increasing the number of students with experience using computation in science. Discipline specific tools were chosen and implemented in the respective courses, for example Chemsketch in chemistry. Hands-on labs were designed to familiarize instructors and students so it can be helpful to smooth the learning curve in STEM undergraduate students"
Exploring the impact of design thinking in information technology education: An empirical investigation,Thinking Skills and Creativity,51,101450,2024,1871-1871,https://doi.org/10.1016/j.tsc.2023.101450,https://www.sciencedirect.com/science/article/pii/S1871187123002171,Lin Lin and Yuqi Dong and Xingye Chen and Rustam Shadiev and Yingying Ma and Huilun Zhang,"Design thinking, Secondary education, Information technology courses, Project-based learning","In the context of digital transformation, educators are seeking ways to guide students to become innovative technology designers. However, students often lack innovative problem-solving skills when working with IT, and so new pedagogies are needed to improve IT-related curricula. Design thinking (DT), as a methodology, may offer the potential to meet this need. The present study developed a DT-based framework for the design of IT learning projects. A quasi-experiment was conducted in a junior middle school, employing both qualitative and quantitative analysis methods to explore the impact of DT on learning outcomes and mechanisms that explain the observed changes in student performance. The findings demonstrate that DT promotes creativity in students’ digital works, especially their value, diversity, and originality. DT also enhances students’ awareness of using IT to address daily challenges and facilitates their basic information knowledge and skills. Regarding the mechanisms, the DT process and tools serve as learning scaffolds and facilitate the creativity of digital work. The Ideate of DT generates ideas on what to do and how to do it. Empathize and Define establish a link between digital work and real-life problems. Prototype and Test help students acquire basic information knowledge and skills. This study not only examines the impact of DT on IT education but also explores the mechanisms to explain the observed changes in learning performance. The findings can serve as a guide for educators and researchers to further optimize the teaching of IT courses and nurture innovative talents required in the new era."
Semantic configuration model with natural transformations,Cognitive Systems Research,83,101185,2024,1389-0417,https://doi.org/10.1016/j.cogsys.2023.101185,https://www.sciencedirect.com/science/article/pii/S1389041723001195,Viacheslav Wolfengagen and Larisa Ismailova and Sergey Kosikov and Igor Slieptsov and Sebastian Dohrn and Alexander Marenkov and Vladislav Zaytsev,"Information process, Configuration, Morphing, Cognitive preference, Semantic net, Functor, Natural transformation","In the present work, efforts have been made to create a configuration-based approach to knowledge extraction. The notion of granularity is developed, which allows fine-tuning the expressive possibilities of the semantic network. As known, the central issues for knowledge-based systems are what’s-in-a-node and what’s-in-a-link. As shown, the answer can be obtained from the functor-as-object representation. Then the nodes are functors, and the main links are natural transformations. Such a model is applicable to represent morphing, and the object is considered as a process, which is in a harmony with current ideas on computing. It is possible to represent information channels that carry out the transformations of processes. The possibility of generating displaced concepts and the generation of families of their morphs is shown, the evolvent of stages of knowledge and properties of the process serve as parameters."
Understanding students’ abstractions in block-based programming environments: A performance based evaluation,Thinking Skills and Creativity,41,100888,2021,1871-1871,https://doi.org/10.1016/j.tsc.2021.100888,https://www.sciencedirect.com/science/article/pii/S1871187121001036,Ünal Çakıroğlu and İsak Çevik and Engin Köşeli and Merve Aydın,"Abstraction, Block-based programming, Computational thinking, Computer science education","Providing computational problems for enhancing students’ abstraction skills and monitoring how students make abstractions is difficult in block-based programming environments (BBPEs). Thus, concrete examples and principles are needed to guide computer science teachers about understanding and enhancing students’ abstractions. This study aims to examine the effect of using block-based coding environments on enhancing secondary school students’ abstraction skills. Referring to the programming knowledge, a rubric was created to analyze the data from screen recordings, observation and interviews were used together to reveal the students’ abstraction performances. The results suggested that students performed high in elimination, focusing and generalization; however, students’ performances were relatively low in customization. Students’ explanations were mostly related the nature of the problems, affordances of BBPE and the programming constructs used in coding. We hope the study will provide insights for the efforts on instructional designs for successful abstraction experiences for young students."
Artificial intelligence in early childhood education: A scoping review,Computers and Education: Artificial Intelligence,3,100049,2022,2666-920X,https://doi.org/10.1016/j.caeai.2022.100049,https://www.sciencedirect.com/science/article/pii/S2666920X22000042,Jiahong Su and Weipeng Yang,"Artificial intelligence, Early childhood education, Teaching and learning, Machine learning, Computer science","Artificial intelligence (AI) tools are increasingly being used in the field of early childhood education (ECE) to enhance learning and development among young children. Previous proof-of-concept studies have demonstrated that AI can effectively improve teaching and learning in ECE; however, there is a scarcity of knowledge about how these studies are conducted and how AI is used across these studies. We conducted this scoping review to evaluate, synthesize and display the latest literature on AI in ECE. This review analyzed 17 eligible studies conducted in different countries from 1995 to 2021. Although few studies on this critical issue have been found, the existing references provide up-to-date insights into different aspects (knowledge, tools, activities, and impacts) of AI for children. Most studies have shown that AI has significantly improved children's concepts regarding AI, machine learning, computer science, and robotics and other skills such as creativity, emotion control, collaborative inquiry, literacy skills, and computational thinking. Future directions are also discussed for researching AI in ECE."
Evaluating Aspects of Usability in Video Game-Based Programming Learning Platforms,Procedia Computer Science,181,247-254,2021,1877-0509,https://doi.org/10.1016/j.procs.2021.01.141,https://www.sciencedirect.com/science/article/pii/S1877050921001812,Jaime Díaz and Jeferson Arango López and Samuel Sepúlveda and Gabriel Mauricio {Ramírez Villegas} and Danay Ahumada and Fernando Moreira,"Human-Computer Interaction, Usability, Video-games, Training, Computer Programming","Teaching computer programming is an important topic. Due to Science and Technology initiatives, these topics are considered in different training cycles. For higher education, students must cultivate fundamental concepts for the development of software applications, which not only contribute to the knowledge of programming languages but also to opening guidelines for computational thinking. However, selecting a proper tool can be complex. Especially for the diversity of alternatives on the web. Further, not all of them meet basic usability requirements. In this study, we present a set of platforms that seek to develop programming skills based on video games. The search consisted of 4 stages: (i) definition of the research questions, (ii) scope review, (iii) execution of search and (iv) platform selection. Finally, we employ a usability heuristic evaluation for a novice programming system to determine best practices."
Using algorithmic thinking to design algorithms: The case of critical path analysis,The Journal of Mathematical Behavior,71,101079,2023,0732-3123,https://doi.org/10.1016/j.jmathb.2023.101079,https://www.sciencedirect.com/science/article/pii/S0732312323000494,Timothy H. Lehmann,"Algorithmic thinking, Algorithm, Critical path analysis, Discrete mathematics, Graph theory","Algorithmic thinking is emerging as an important competence in mathematics education, yet research appears to be lagging this shift in curricular focus. The aim of this generative study is to examine how students use the cognitive skills of algorithmic thinking to design algorithms. Task-based interviews were conducted with four pairs of Year 12 students (n = 8) to analyze how they used decomposition and abstraction to specify the projects, designed algorithms to solve scheduling problems by first devising fundamental operations and then using algorithmic concepts to account for complex and special cases of the problems, and tested and debugged their algorithms. A deductive-inductive analytical process was used to classify students’ responses according to the four cognitive skills to develop sets of subskills to describe how the students engaged these cognitive skills."
Equitable STEM+CS learning experiences for girls of color: nurturing an independent learning approach via a learning ecosystem,Journal for Multicultural Education,17,427-442,2023,2053-535X,https://doi.org/10.1108/JME-01-2023-0004,https://www.sciencedirect.com/science/article/pii/S2053535X23000368,Ryoko Yamaguchi and Veronica {Hankerson Madrigal} and Cyntrica N. Eaton and Jamika D. Burge,"Black girls, Computer science, Computational thinking, Dependent learning, Equity, Independent learning, Learning behaviors, Learning ecosystem, Middle school girls, STEM, STEM+CS","Purpose
There is a critical need to understand how to attract Black girls and other girls of color to the science, technology, engineering, math, and computer science (STEM+CS) field. This study aims to look at the design and implementation of a CS learning ecosystem that supports girls of color in acquiring critical CS skills starting in middle school.
Design/methodology/approach
This mixed-method case study included 53 girls, between the ages of 11 and 13, in four US middle schools. Study methods included the analysis of a pre-program student survey, longitudinal interviews and focus groups, weekly observations and computing artifacts.
Findings
Program participants were interested in CS, were confident in their ability to learn CS, had prior coding and CS experience and had parents and teachers who encouraged them to learn CS. But some students showed dependent learning behaviors while engaging in CS activities. These included relying on instructors and being reticent to make mistakes–behaviors that limit learning. The CS learning ecosystem supported students as they shifted from applying dependent learning approaches to applying independent learning approaches. Instructors sustained a growth mindset and supported productive struggle as students learned CS skills.
Originality/value
A CS learning system supported equitable learning experiences and helped students develop independent learning behaviors that led to deeper engagement in CS."
Analysis of publication activity of computational science society in 2001–2017 using topic modelling and graph theory,Journal of Computational Science,26,193-204,2018,1877-7503,https://doi.org/10.1016/j.jocs.2018.04.004,https://www.sciencedirect.com/science/article/pii/S1877750318302461,Tesfamariam M. Abuhay and Sergey V. Kovalchuk and Klavdiya Bochenina and Gali-Ketema Mbogo and Alexander A. Visheratin and George Kampis and Valeria V. Krzhizhanovskaya and Michael H. Lees,"Topic modelling, Natural language processing, ICCS, Computational science, Graph theory, Collaboration networks","This paper presents the results of topic modelling and analysis of topic networks using the corpus of the International Conference on Computational Science (ICCS), which contains 5982 domain-specific papers over seventeen years 2001–2017. We discuss the topical structures of ICCS, and show how these topics have evolved over time in response to the topicality of various domains, technologies and methods, and how all these topics relate to one another. This analysis illustrates the multidisciplinary research and collaborations among scientific communities, by constructing static and dynamic networks from the topic modelling results and from the authors’ keywords. The results of this study provide insights regarding the past and future trends of core discussion topics in computational science and show how “computational thinking” has propagated across different fields of study. We used the Non-negative Matrix Factorization (NMF) topic modelling algorithm to discover topics. The resulting topics were then manually labelled and grouped hierarchically on three levels. Next, we applied trend analysis and Change Point Analysis (CPA) to study the evolution of topics over seventeen years and to identify the growing and disappearing topics. We used Gephi to examine the static networks of topics, and an R library called DyA to analyse the dynamic networks of topics. We also analysed the conference as a platform for potential collaboration development through the perspective of collaboration networks. The results show that authors of ICCS papers continue to actively collaborate after the conference − on average authors collaborate with three other ICCS authors, − which suggests that ICCS is a valuable platform for collaboration development."
MR-LEAP: Mixed-Reality Learning Environment for Aspirational Programmers,Software Impacts,20,100648,2024,2665-9638,https://doi.org/10.1016/j.simpa.2024.100648,https://www.sciencedirect.com/science/article/pii/S2665963824000368,Santiago Schez-Sobrino and Francisco M. García and Javier A. Albusac and Carlos Glez-Morcillo and Jose J. Castro-Schez and David Vallejo,"Programming learning, Mixed reality, Gamification, Computational thinking, Problem solving","This paper presents MR-LEAP (Mixed-Reality Learning Environment for Aspirational Programmers), a framework developed for learning programming through Mixed Reality and gamification mechanics. MR-LEAP’s architecture is designed to facilitate the understanding of basic programming concepts while allowing the gradual incorporation of more complex concepts. The framework provides a simple visual level editor. MR-LEAP is supported by the Mixed Reality Toolkit framework to promote portability to new Mixed Reality devices. Our goal is to facilitate programming education using Mixed Reality technology. MR-LEAP has already been used in both research and educational."
