author,title,journal,volume,number,pages,year,publisher,doi
"Meryem Şeyda Özcan, Tilbe Göksun and Yasemin Kisbu",The impact of learning to code on higher-order executive-functions: a systematic review of the literature,Journal of Research on Technology in Education,0,0,1--29,2024,Routledge,10.1080/15391523.2024.2381231
"Tracy N. Vassiliev, Douglas J. Gardner and David J. Neivandt",A middle school investigation into developing environmentally friendly packaging,Science Activities,61,3,152--161,2024,Routledge,10.1080/00368121.2024.2345062
"Jiahong Su, Weipeng Yang and Yuchun Zhong",Influences of Gender and Socioeconomic Status on Children’s Use of Robotics in Early Childhood Education: A Systematic Review,Early Education and Development,34,4,910--926,2023,Routledge,10.1080/10409289.2022.2078617
Ahlam Lee,The Association Between Female Students’ Computer Science Education and STEM Major Selection: Multilevel Structural Equation Modeling,Computers in the Schools,37,1,17--39,2020,Routledge,10.1080/07380569.2020.1720553
"Chih-Chien Hu, Yu-Fen Yang, Ya-Wen Cheng and Nian-Shing Chen",Integrating educational robot and low-cost self-made toys to enhance STEM learning performance for primary school students,Behaviour \& Information Technology,43,8,1614--1635,2024,Taylor \& Francis,10.1080/0144929X.2023.2222308
"Huei-Tse Hou, Ying-Sang Fang and Joni Tzuchen Tang",Designing an alternate reality board game with augmented reality and multi-dimensional scaffolding for promoting spatial and logical ability,Interactive Learning Environments,31,7,4346--4366,2023,Routledge,10.1080/10494820.2021.1961810
Alison Riley Miller and Martha Eshoo,Methods and Strategies: Reassessing Recess,Science and Children,60,4,76--82,2023,Routledge,10.1080/00368148.2023.12291875
"Selcuk Sirin, Jan L. Plass, Bruce D. Homer, Sinem Vatanartiran and Tzuchi Tsai",Digital game-based education for Syrian refugee children: Project Hope,Vulnerable Children and Youth Studies,13,1,7--18,2018,Taylor \& Francis,10.1080/17450128.2017.1412551
James P. Concannon and Patrick L. Brown,Students’ investigations of torque,Science Activities,55,3-4,89--103,2018,Routledge,10.1080/00368121.2018.1563039
"Lindsay B. Wheeler, Randy L. Bell, Brooke A. Whitworth and Jennifer L. Maeng",The Science ELF: Assessing the enquiry levels framework as a heuristic for professional development,International Journal of Science Education,37,1,55--81,2015,Routledge,10.1080/09500693.2014.961182
Rachel Wilson and Leslie Bradbury,Methods \& Strategies: Multiple Modes in Science Instruction,Science and Children,57,1,77--81,2019,Routledge,10.1080/19434812.2019.12292388
Genevieve Ritchie,"Migration as class struggle: refugee youth, work rights, and solidarity",Labor History,63,4,518--530,2022,Routledge,10.1080/0023656X.2021.2023119
Eve Klein and Jack Walton,Mapping future work skills in the bachelor of arts: findings from an Australian study,Higher Education Research \& Development,43,1,104--118,2024,Routledge,10.1080/07294360.2023.2228218
Jonathan Osborne,Teaching Scientific Practices: Meeting the Challenge of Change,Journal of Science Teacher Education,25,2,177--196,2014,Routledge,10.1007/s10972-014-9384-1
"Jianfeng Wu, Yuting Cai, Tingyu Sun, Keer Ma and Chunfu Lu","Integrating AIGC with design: dependence, application, and evolution - a systematic literature review",Journal of Engineering Design,0,0,1--39,2024,Taylor \& Francis,10.1080/09544828.2024.2362587
John Rodzvilla,Critical Digital Humanities: The Search for a Methodology,Journal of Web Librarianship,13,4,332--333,2019,Routledge,10.1080/19322909.2019.1695430
Heather Pacheco-Guffrey,Developing Climate Justice,Science and Children,61,2,24--27,2024,Routledge,10.1080/00368148.2024.2315661
Sibel Erduran and Olivia Levrini,The impact of artificial intelligence on scientific practices: an emergent area of research for science education,International Journal of Science Education,0,0,1--8,2024,Routledge,10.1080/09500693.2024.2306604
"Colby Tofel-Grehl, Douglas Ball and Kristin Searle",Making progress: Engaging maker education in science classrooms to develop a novel instructional metaphor for teaching electric potential,The Journal of Educational Research,114,2,119--129,2021,Routledge,10.1080/00220671.2020.1838410
Kathrin Smolarczyk and Stephan Kröner,Two decades in the making: A scoping review on research on digital making and its potential for digital empowerment in non-formal settings,Journal of Research on Technology in Education,55,3,459--476,2023,Routledge,10.1080/15391523.2021.1974987
"Krista Fincke, Deb Morrison, Kristen Bergsman and Phillip Bell",Formative Assessment for Equitable Learning,The Science Teacher,89,2,32--36,2021,Routledge,10.1080/00368555.2021.12293651
"Hong H. Tran, Timothy J. Cleary, Daniel K. Capps and Georgia W. Hodges",Coaching During Student Teaching: Using Self-Regulated Learning to Improve Questioning Skills for Preservice Science Teachers,Journal of Science Teacher Education,0,0,1--22,2024,Routledge,10.1080/1046560X.2024.2381301
Michael Lachney,Culturally responsive computing as brokerage: toward asset building with education-based social movements,"Learning, Media and Technology",42,4,420--439,2017,Routledge,10.1080/17439884.2016.1211679
Elizabeth Barrett-Zahn,Making Science Accessible for All,Science and Children,61,1,5--5,2024,Routledge,10.1080/00368148.2024.2293459
,Computer Science Education – Call for Papers,Computer Science Education,28,2,187--188,2018,Routledge,10.1080/08993408.2018.1488375
Winifred Elysse Newman,Engineering Architecture,Technology|Architecture + Design,6,2,123--123,2022,Routledge,10.1080/24751448.2022.2114230
"Renate Andersen, Anders I. Mørch and Kristina Torine Litherland",Collaborative learning with block-based programming: investigating human-centered artificial intelligence in education,Behaviour \& Information Technology,41,9,1830--1847,2022,Taylor \& Francis,10.1080/0144929X.2022.2083981
"Christina M. Sias, Louis S. Nadelson, Stephanie M. Juth and Anne L. Seifert",The best laid plans: Educational innovation in elementary teacher generated integrated STEM lesson plans,The Journal of Educational Research,110,3,227--238,2017,Routledge,10.1080/00220671.2016.1253539
"Molly Weinburgh, Cecilia Silva and Kathy Horak Smith",Multimodality and the 5R Instructional Model: Biology Teachers Learning to Engage Emergent Multilingual Learners,Journal of Science Teacher Education,32,4,378--399,2021,Routledge,10.1080/1046560X.2020.1830503
"Dora Konstantinou, Antigoni Parmaxi and Panayiotis Zaphiris",Mapping research directions on makerspaces in education,Educational Media International,58,3,223--247,2021,Routledge,10.1080/09523987.2021.1976826
Roxanne Missingham,"Archives, access and artificial intelligence: working with born-digital and digitized archival collections",Journal of the Australian Library and Information Association,72,1,100--101,2023,Routledge,10.1080/24750158.2023.2168151
"Maria José Loureiro, Ana Loureiro and Mart Laanpere",Editorial,Educational Media International,60,3-4,152--153,2023,Routledge,10.1080/09523987.2023.2324605
"J. A Long, R. Weibel, S. Dodge and P. Laube",Moving ahead with computational movement analysis,International Journal of Geographical Information Science,32,7,1275--1281,2018,Taylor \& Francis,10.1080/13658816.2018.1442974
"Mateus Carvalho Gonçalves, Otávio Neves Lara, Raphael Winckler de Bettio and André Pimenta Freire",End-user development of smart home rules using block-based programming: a comparative usability evaluation with programmers and non-programmers,Behaviour \& Information Technology,40,10,974--996,2021,Taylor \& Francis,10.1080/0144929X.2021.1921028
"Kirsi Talman, Jonna Vierula, Anne-Maria Kanerva, Outi Virkki, Jaana-Maija Koivisto and Elina Haavisto",Instruments for assessing reasoning skills in higher education: a scoping review,Assessment \& Evaluation in Higher Education,46,3,376--392,2021,SRHE Website,10.1080/02602938.2020.1776212
Shu-Min Liao,SCRATCH to R: Toward an Inclusive Pedagogy in Teaching Coding,Journal of Statistics and Data Science Education,31,1,45--56,2023,Taylor \& Francis,10.1080/26939169.2022.2090467
Eddy Borges-Rey,Unravelling Data Journalism,Journalism Practice,10,7,833--843,2016,Routledge,10.1080/17512786.2016.1159921
Patrick Carmichael,New curricula and new research agendas,"Technology, Pedagogy and Education",23,4,421--422,2014,Routledge,10.1080/1475939X.2014.978524
"Elizabeth Barrett-Zahn, Valynda Mayes, Will Thomas, Catherine Lorrain, Jack Parker, Erika Shugart and Jason Sheldrake",Editor’s Note,Science and Children,58,5,6--6,2021,Routledge,10.1080/19434812.2021.12291665
Brian Dorn and Jan Vahrenhold,Editorial,Computer Science Education,34,3,329--330,2024,Routledge,10.1080/08993408.2024.2403056
"Anna van der Meulen, Mijke Hartendorp, Wendy Voorn and Felienne Hermans",Observing the computational concept of abstraction in blind and low vision learners using the Bee-bot and Blue-bot,Computer Science Education,0,0,1--23,2023,Routledge,10.1080/08993408.2023.2272232
"Maria Jose Loureiro, Ana Loureiro and Mart Laanpere",Technological advancement and challenges in education,Educational Media International,61,1-2,2--3,2024,Routledge,10.1080/09523987.2024.2358662
"Tiina Korhonen, Laura Salo, Noora Laakso, Aino Seitamaa, Kati Sormunen, Minna Kukkonen and Heidi Forsström",Finnish teachers as adopters of educational innovation: perceptions of programming as a new part of the curriculum,Computer Science Education,33,1,94--116,2023,Routledge,10.1080/08993408.2022.2095595
Carl M. Johnson,Computation and Early Chinese Thought,Asian Philosophy,22,2,143--159,2012,AAP Website,10.1080/09552367.2012.692973
Mark Daniel Ward,Building Bridges: The Role of an Undergraduate Mentor,The American Statistician,71,1,30--33,2017,ASA Website,10.1080/00031305.2016.1251494
"Seth Van Doren, Lisa Hardy, Colin Dixon and Sherry Hsi",Data at a Distance,The Science Teacher,89,3,26--31,2022,Routledge,10.1080/00368555.2022.12293665
Rebecca Yvonne Bayeck,A review of five African board games: is there any educational potential?,Cambridge Journal of Education,48,5,533--552,2018,Routledge,10.1080/0305764X.2017.1371671
"Maria Konow-Lund, Junai Mtchedlidze and Jens Barland",Organizational and Occupational Innovation when Implementing a Covid-19 Live Tracker in VG Newsroom,Journalism Practice,18,7,1773--1789,2024,Routledge,10.1080/17512786.2022.2116592
"Danielle B. Harlow, Hilary A. Dwyer, Alexandria K. Hansen, Ashley O. Iveland and Diana M. Franklin",Ecological Design-Based Research for Computer Science Education: Affordances and Effectivities for Elementary School Students,Cognition and Instruction,36,3,224--246,2018,Routledge,10.1080/07370008.2018.1475390
"Leslie Bradbury, Beth Frye and Lisa Gross", The Capture: Kidnapping Students’ Interests Using the Guardians of Ga’Hoole ,Science Activities,50,4,134--145,2013,Routledge,10.1080/00368121.2013.850400
"Yumiko Murai, Ryohei Ikejiri, Yuhei Yamauchi, Ai Tanaka and Seiko Nakano",Design strategies to integrate creative learning in elementary school curricula through computer programming activities,Interactive Learning Environments,31,7,4698--4712,2023,Routledge,10.1080/10494820.2021.1979048
"Jean J. Ryoo, Jane Margolis, Clifford H. Lee, Cueponcaxochitl D.M. Sandoval and Joanna Goode",Democratizing computer science knowledge: transforming the face of computer science through public high school education,"Learning, Media and Technology",38,2,161--181,2013,Routledge,10.1080/17439884.2013.756514
Laura B. Schneider and Angelique Kelly,Mesozoic Measurement,Science and Children,59,1,26--31,2021,Routledge,10.1080/19434812.2021.12291710
Kaixian Yu,Data Science Foundations: Geometry and Topology of Complex Hierarchic Systems and Big Data Analytics.,Journal of the American Statistical Association,114,527,1420--1421,2019,ASA Website,10.1080/01621459.2019.1662241
"Ann D. Thompson, Denise A. Schmidt-Crawford and Denise L. Lindstrom",JDLTE update: The vision of our founders validated!,Journal of Digital Learning in Teacher Education,37,4,215--216,2021,Routledge,10.1080/21532974.2021.1997092
I-Fan Lo and Ching-Huei Chen,Timing of instructional materials and types of gameplay for interdisciplinary learning: A comparative experimental study,Research in Science \& Technological Education,0,0,1--18,2023,Routledge,10.1080/02635143.2023.2209842
"Ann D. Thompson, Denise Lindstrom and Denise A. Schmidt-Crawford",COVID-19 Era: A Time for Us to Lead!,Journal of Digital Learning in Teacher Education,36,4,204--205,2020,Routledge,10.1080/21532974.2020.1813238
"Lilin Tong, Bethany J. G. White and Jastaranpreet Singh",Bridging statistics and life sciences undergraduate education,Journal of Biological Education,58,4,984--996,2024,Routledge,10.1080/00219266.2022.2118810
"Matthew Johnson, Tiffany Lewis, Kit Martin, Amber Cesare, Anthony Schmitt, Eugene Lengerich, Kristin Bittner and Chris Divyak",The Science of COVID-19,The Science Teacher,90,3,12--16,2023,Routledge,10.1080/00368555.2023.12294201
Kimberly Lott and Sarah Clark,New! Cross-Curricular Connections: Science in the Literacy Block,Science and Children,58,2,80--86,2020,Routledge,10.1080/00368148.2020.12315813
Anuradha Reddy,Artificial everyday creativity: creative leaps with AI through critical making,Digital Creativity,33,4,295--313,2022,CAA Website,10.1080/14626268.2022.2138452
Mi You,"On the Sleep of the Computer, or the Performance of Randomness",Performance Research,21,1,18--24,2016,Routledge,10.1080/13528165.2016.1138762
"Emily J.S. Kang, Mary Jean McCarthy and Corinne Donovan",Elementary Teachers’ Enactment of the NGSS Science and Engineering Practices,Journal of Science Teacher Education,30,7,788--814,2019,Routledge,10.1080/1046560X.2019.1630794
David Caswell,Structured Journalism and the Semantic Units of News,Digital Journalism,7,8,1134--1156,2019,Routledge,10.1080/21670811.2019.1651665
Brian Dorn and Jan Vahrenhold,Editorial,Computer Science Education,28,3,189--190,2018,Routledge,10.1080/08993408.2018.1546471
Rikke Berggreen Paaskesen,Play-based strategies and using robot technologies across the curriculum,International Journal of Play,9,2,230--254,2020,Routledge,10.1080/21594937.2020.1778272
"Jesús E. Hernández-Zavaleta, Corey Brady, Sandra Becker and Douglas B. Clark",Vygotskian hybridizing of motion and mapping: Learning about geometric transformations in block-based programming environments,Mathematical Thinking and Learning,0,0,1--35,2023,Routledge,10.1080/10986065.2023.2191074
Winnie Wing Mui So,"Does computation technology matter in science, technology, engineering and mathematics (STEM) projects?",Research in Science \& Technological Education,41,1,232--250,2023,Routledge,10.1080/02635143.2021.1895099
"Lijun Ni, Gillian Bausch and Rebecca Benjamin",Computer science teacher professional development and professional learning communities: a review of the research literature,Computer Science Education,33,1,29--60,2023,Routledge,10.1080/08993408.2021.1993666
"Ann D. Thompson, Denise A. Schmidt-Crawford and Denise L. Lindstrom",The State of the JDLTE: Looking Good!,Journal of Digital Learning in Teacher Education,35,4,200--202,2019,Routledge,10.1080/21532974.2019.1648955
"Elizabeth Vicario, Rita Ortiz, Kofi Acheaw Owusu, Allan Feldman, Kebreab Ghebremichael and Sarina J. Ergas",Engaging Students in Waste-to-Energy Research Using Model Biodigesters,The Science Teacher,91,1,22--30,2024,Routledge,10.1080/00368555.2023.2292331
Ashley Delaney and Kari Jurgenson,Engineering Encounters: Building Bridges,Science and Children,57,1,82--88,2019,Routledge,10.1080/19434812.2019.12292389
"Sara Vogel, Christopher Hoadley, Ana Rebeca Castillo and Laura Ascenzi-Moreno","Languages, literacies and literate programming: can we use the latest theories on how bilingual people learn to help us teach computational literacies?",Computer Science Education,30,4,420--443,2020,Routledge,10.1080/08993408.2020.1751525
Yi Jin and Christi Harp,"Examining preservice teachers’ TPACK, attitudes, self-efficacy, and perceptions of teamwork in a stand-alone educational technology course using flipped classroom or flipped team-based learning pedagogies",Journal of Digital Learning in Teacher Education,36,3,166--184,2020,Routledge,10.1080/21532974.2020.1752335
"Jewoong Moon, Sheunghyun Yeo, Qi Si and Abiodun Stephen Ijeluola",A scoping review of game-based learning for mathematics teacher education,International Journal of Mathematical Education in Science and Technology,0,0,1--29,2024,Taylor \& Francis,10.1080/0020739X.2024.2337934
"Christian Navarro-Cota, Ana I. Molina, Miguel A. Redondo and Carmen Lacave",Individual differences in computer programming: a systematic review,Behaviour \& Information Technology,0,0,1--19,2024,Taylor \& Francis,10.1080/0144929X.2024.2317377
Astrid Van den Bossche,"Studying digitised historical advertisements: experiments, explorations, reflections",Journal of Marketing Management,38,15-16,1815--1820,2022,Routledge,10.1080/0267257X.2022.2144417
"Corrie C. Urlings, Karien M. Coppens and Lex Borghans",Measurement of Executive Functioning Using a Playful Robot in Kindergarten,Computers in the Schools,36,4,255--273,2019,Routledge,10.1080/07380569.2019.1677436
Haoda Feng,Digital technologies: Sustainable innovations for improving teaching and learning,Innovations in Education and Teaching International,57,4,506--508,2020,SRHE Website,10.1080/14703297.2020.1787740
Brian Dorn and Jan Vahrenhold,Editorial,Computer Science Education,33,4,483--484,2023,Routledge,10.1080/08993408.2023.2284501
Sandy Black,Editorial,Fashion Practice,16,2,163--166,2024,Routledge,10.1080/17569370.2024.2371171
Torrey Trust,2017 ISTE Standards for Educators: From Teaching With Technology to Using Technology to Empower Learners,Journal of Digital Learning in Teacher Education,34,1,1--3,2018,Routledge,10.1080/21532974.2017.1398980
Brian Dorn and Jan Vahrenhold,Editorial,Computer Science Education,31,3,313--314,2021,Routledge,10.1080/08993408.2021.1968117
Alissa A. Lange,The Early Years: Space Science Explorations as Equity,Science and Children,60,2,10--11,2022,Routledge,10.1080/19434812.2022.12291829
"Brent Gilles, Tim Hawig, Ashley Sutton and Stacey Britton",STEMing the Flow for All,Connected Science Learning,1,10,12420538,2019,Routledge,10.1080/24758779.2019.12420538
Serdar Çiftci and Ahmet Bildiren,The effect of coding courses on the cognitive abilities and problem-solving skills of preschool children,Computer Science Education,30,1,3--21,2020,Routledge,10.1080/08993408.2019.1696169
Mary Q. Foote and Rachel Lambert,I Have a Solution to Share: Learning Through Equitable Participation in a Mathematics Classroom,"Canadian Journal of Science, Mathematics and Technology Education",11,3,247--260,2011,Routledge,10.1080/14926156.2011.595882
"Jacqueline Nijenhuis-Voogt, Durdane Bayram-Jacobs, Paulien C. Meijer and Erik Barendsen",Omnipresent yet elusive: Teachers’ views on contexts for teaching algorithms in secondary education,Computer Science Education,31,1,30--59,2021,Routledge,10.1080/08993408.2020.1783149
"Kay Livingston, Louise Hayward, Steve Higgins and Dominic Wyse",Multiple influences on curriculum decisions in a supercomplex world,The Curriculum Journal,26,4,515--517,2015,Routledge,10.1080/09585176.2015.1095015
Paul J. Campbell,Reviews,Mathematics Magazine,90,5,395--396,2017,Taylor \& Francis,10.4169/math.mag.90.5.395
Florian Stalph and Eddy Borges-Rey,Data Journalism Sustainability,Digital Journalism,6,8,1078--1089,2018,Routledge,10.1080/21670811.2018.1503060
"Rashmi Yogesh Pai, Ankitha Shetty, Tantri Keerthi Dinesh, Adithya D. Shetty and Namrata Pillai",Effectiveness of social robots as a tutoring and learning companion: a bibliometric analysis,Cogent Business \& Management,11,1,2299075,2024,Cogent OA,10.1080/23311975.2023.2299075
Liwei Liu and Luke Santamaria,Blended learning for inclusive and quality higher education in Asia,Innovations in Education and Teaching International,59,1,115--117,2022,SRHE Website,10.1080/14703297.2022.2023416
Juliana E. Raffaghelli and Bonnie Stewart,Centering complexity in ‘educators’ data literacy’ to support future practices in faculty development: a systematic review of the literature,Teaching in Higher Education,25,4,435--455,2020,SRHE Website,10.1080/13562517.2019.1696301
Mara Alagic,Experience-centered approach and visuality in the education of mathematics and physics,Journal of Mathematics and the Arts,7,2,87--88,2013,Taylor \& Francis,10.1080/17513472.2013.832108
"Sasha Nikolic, Scott Daniel, Rezwanul Haque, Marina Belkina, Ghulam M. Hassan, Sarah Grundy, Sarah Lyden, Peter Neal and Caz Sandison",ChatGPT versus engineering education assessment: a multidisciplinary and multi-institutional benchmarking and analysis of this generative artificial intelligence tool to investigate assessment integrity,European Journal of Engineering Education,48,4,559--614,2023,Taylor \& Francis,10.1080/03043797.2023.2213169
Gordon O. Ade-Ojo and Raed Yacoub,Towards a pedagogy of complementary alternative adult literacy learning spaces (CALLS) in ESOL and literacy learning: A case study of the use of a computerised environment (SCRATCH) in an ESOL class,Studies in the Education of Adults,51,1,89--108,2019,Routledge,10.1080/02660830.2019.1572441
Nicholas Leonard,Entanglement Art Education: Factoring ARTificial Intelligence and Nonhumans Into Future Art Curricula,Art Education,73,4,22--28,2020,Routledge,10.1080/00043125.2020.1746163
S. L. Greener,Developing learning technology as inclusive practice,Interactive Learning Environments,29,3,343--344,2021,Routledge,10.1080/10494820.2021.1927494
,Reviews,Mathematics Magazine,92,3,239--240,2019,Taylor \& Francis,10.1080/0025570X.2019.1603523
Brian Dorn and Jan Vahrenhold,Editorial,Computer Science Education,29,1,1--4,2019,Routledge,10.1080/08993408.2019.1594611
Reviewed by Carl-Gustav Lindén,Automating the News: How Algorithms are Rewriting the Media,Mass Communication and Society,23,6,968--970,2020,Routledge,10.1080/15205436.2020.1783887
Inken Prohl,"The Materialities of AI Belief at the Futurium, Berlin",Material Religion,17,2,286--290,2021,Routledge,10.1080/17432200.2021.1897306
Michael Schad and W. Monty Jones,The Maker Movement and Education: A Systematic Review of the Literature,Journal of Research on Technology in Education,52,1,65--78,2020,Routledge,10.1080/15391523.2019.1688739
"Ben Williamson, Annika Bergviken Rensfeldt, Catarina Player-Koro and Neil Selwyn",Education recoded: policy mobilities in the international ‘learning to code’ agenda,Journal of Education Policy,34,5,705--725,2019,Routledge,10.1080/02680939.2018.1476735
Eun-Ok Baek and Young-Hoon Sung,Pre-service teachers’ perception of technology competencies based on the new ISTE technology standards,Journal of Digital Learning in Teacher Education,37,1,48--64,2021,Routledge,10.1080/21532974.2020.1815108
"Melissa J. Luna, Sarah J. Selmer and James A. Rye",Teachers’ Noticing of Students’ Thinking in Science Through Classroom Artifacts: In What Ways Are Science and Engineering Practices Evident?,Journal of Science Teacher Education,29,2,148--172,2018,Routledge,10.1080/1046560X.2018.1427418
Zaki Eusufzai,"Cathy O’Neil. Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy, Crown Publishers, New York (2016). 259 pp., ISBN: 9780553418811.",The Social Science Journal,56,3,425--426,2019,Routledge,10.1016/j.soscij.2019.04.002
Alissa A. Lange,The Early Years: NGSS for Our Youngest Learners: Explorations in Coding,Science and Children,60,4,8--9,2023,Routledge,10.1080/00368148.2023.12291861
James McDonald,Point of View: There Is a Difference Between Engagement and Understanding,Journal of College Science Teaching,48,3,7--8,2019,Routledge,10.2505/4/jcst19\_048\_03\_7
"Crystal Hall, Eric Chown and Fernando Nascimento","A critical, analytical framework for the digital machine",Interdisciplinary Science Reviews,46,4,458--476,2021,Taylor \& Francis,10.1080/03080188.2020.1865659
"Jiahong Su, Kai Guo, Xinyu Chen and Samuel Kai Wah Chu",Teaching artificial intelligence in K–12 classrooms: a scoping review,Interactive Learning Environments,0,0,1--20,2023,Routledge,10.1080/10494820.2023.2212706
Forrest J. Bowlick and Dawn J. Wright,Digital Data-Centric Geography: Implications for Geography's Frontier,The Professional Geographer,70,4,687--694,2018,Routledge,10.1080/00330124.2018.1443478
Hsiao-Ping Hsu,Promote Environmental Awareness and Care by Creating a Virtual Reality Tour for the Local Community,The Geography Teacher,21,3,119--125,2024,Routledge,10.1080/19338341.2024.2373709
"Jeanette Pirlo, Bruce J. MacFadden, Eleanor E. Gardner, Victor J. Perez and Denise Porcello",Connecting Fossil Clubs With K–12 Teachers,Connected Science Learning,1,6,12420502,2018,Routledge,10.1080/24758779.2018.12420502
"Amie Patchen, Andrea Aeschlimann, Anne Vera-Cruz, Anushree Kamath, Deborah Jose, Jackie DeLisi, Michael Barnett, Paul Madden and Rajeev Rupani",Seeding the Future,Connected Science Learning,1,3,12420467,2017,Routledge,10.1080/24758779.2017.12420467
Chi-Cheng Chang and Yiching Chen,Using mastery learning theory to develop task-centered hands-on STEM learning of Arduino-based educational robotics: psychomotor performance and perception by a convergent parallel mixed method,Interactive Learning Environments,30,9,1677--1692,2022,Routledge,10.1080/10494820.2020.1741400
"Feiya Luo, Ruohan Liu, Fatema Nasrin, Idowu David Awoyemi, Chris Crawford and Wenchao Ma",Engaging students of color in physiological computing with insights from eye-tracking,Journal of Research on Technology in Education,0,0,1--22,2024,Routledge,10.1080/15391523.2024.2381226
