"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Efficacy of a ‘Misconceiving’ Robot to Improve Computational Thinking in a Collaborative Problem Solving Activity: A Pilot Study","U. Norman; A. Chin; B. Bruno; P. Dillenbourg","CHILI Lab, EPFL, Lausanne, Switzerland; Dept. of Computer Science, Wellesley College, Massachusetts, USA; CHILI Lab, EPFL, Lausanne, Switzerland; CHILI Lab, EPFL, Lausanne, Switzerland",2022 31st IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),"30 Sep 2022","2022","","","1413","1420","Robot-mediated learning activities are often designed as collaborative exercises where children work together to achieve the activity objectives. Although miscommunications and misunderstandings occur frequently, humans, unlike robots, are very good at overcoming them and converging to a shared solution. With the aim of equipping a robot with these abilities and exploring its effects, in this article we investigate how a humanoid robot can collaborate with a human learner to construct a shared solution to a problem via suggesting actions and (dis)agreeing with each other. Concretely, we designed a learning activity aiming to improve the computational thinking skills of children, in which the robot makes suggestions on what to do, that may be in line with what the human thinks or not. Furthermore, the robot may suggest wrong actions that could essentially prevent them from finding a correct solution. Via a pilot study conducted remotely with 9 school children, we investigate whether the interaction results in positive learning outcomes, how the collaboration evolves, and how these relate to each other. The results show positive learning outcomes for the participants in terms of finding better solutions, suggesting that the collaboration with the robot might have helped trigger the learning mechanisms.","1944-9437","978-1-7281-8859-1","10.1109/RO-MAN53752.2022.9900775","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900775","human-robot interaction;mutual understanding;collaborative learning;computational thinking","Learning systems;Costs;Correlation;Federated learning;Collaboration;Humanoid robots;Behavioral sciences","","","","21","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"The Development of Instructional Model for Engineering Materials Course by using Concept Mapping to Enhance Computational Skills","K. Surpare; C. Seetao","Faculty of Technical Education, King Mongkut's University of Technology North Bangkok, Bangkok, Thailand; Faculty of Electronics Engineering Technology, King Mongkut's University of Technology North Bangkok, Bangkok, Thailand",2021 6th International STEM Education Conference (iSTEM-Ed),"8 Dec 2021","2021","","","1","4","The research aimed 1) to develop a instructional model: Engineering Materials course by using a concept mapping to enhance computational skills, 2) To study the effect of using the instructional model: Engineering Materials course by using a concept mapping to enhance computational skills. Research tools used in this study were 1) learning management plan, 2) a computational skill knowledge test and 3) a questionnaires on satisfaction toward the instructional model. Data were analyzed using statistics percentages, mean, standard deviation and dependent t-test. The results of this research were as follows 1) the efficiency analysis results of the instructional model developed by the researcher have E1/E2 efficiency of 81.54/73.08. 2) The computational skills of the students after applying instructional model: Engineering Materials course by using a concept mapping was statistically significant at. 01 level and higher than pre-learning. 3) The students opinion toward instructional model: Engineering Materials course by using a concept mapping was the good level.","","978-1-6654-3600-7","10.1109/iSTEM-Ed52129.2021.9625102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9625102","Computational skills;Concept Mapping","Analytical models;Visualization;Systematics;Computational modeling;Education;Writing;Tools","","","","5","IEEE","8 Dec 2021","","","IEEE","IEEE Conferences"
"Adaptation of a Research-based Teaching-Learning Format with Approaches of Online Learning in the STEM Field","C. Hösel; M. Heinzig; R. Vogel; C. Roschke; A. Kühn; F. Schmidsberger; M. Vodel; M. Ritter","Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany; Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany; Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany; Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany; Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany; Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany; Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany; Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany","2022 International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)","30 Dec 2022","2022","","","1","6","Research-based learning (RBL) familiarizes students with the academic research process at an early stage and at the same time offers them the opportunity to actively shape their own learning process. Working on their own research problems allows students to go through the entire research cycle, which promotes not only subject and methodological competencies but also the students' self-competencies. The handling of subject-specific and didactic challenges of this form of teaching-learning has been discussed many times in the past. New challenges for research-based learning now arise from the shift of teaching and learning to virtual space associated with the COVID-19 pandemic. This paper focuses on the adaptation of a research-based teaching-learning format to the demands of e-learning in the course Interaction Science with Artificial Intelligence. We evaluated the adapted teaching-learning format with 18 students in a master's program in STEM. The students stated an increase in professional competence in the areas of programming, data preparation and data visualization. Our results suggest that peer group and direct interaction via synchronous communication channels are important structural frameworks for research-based learning in an online learning context. From our results, we can derive initial implications for online-based RBL in the field of computational education.","","978-1-6654-7095-7","10.1109/ICECCME55909.2022.9988046","Federal Ministry of Education and Research(grant numbers:03WIR1313); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9988046","Research-based Learning;E-learning;STEM Field;Computational Education;Higher Order Thinking Skills","Electronic learning;Mechatronics;Shape;Pandemics;Education;Data visualization;Communication channels","","","","21","IEEE","30 Dec 2022","","","IEEE","IEEE Conferences"
"The Waste Separation Game to Promote Computational Thinking Through Mixed Reality Technology","W. Phatarametravorakul; S. Cheevanantaporn; P. Jamsri","School of Information Technology, King Mongkut’s Institute of Technology Ladkrabang, Bangkok, Thailand; School of Information Technology, King Mongkut’s Institute of Technology Ladkrabang, Bangkok, Thailand; School of Information Technology, King Mongkut’s Institute of Technology Ladkrabang, Bangkok, Thailand",2022 14th International Conference on Information Technology and Electrical Engineering (ICITEE),"23 Nov 2022","2022","","","148","153","The primary issue of garbage is its direct impact on the environment and quality of life. Several types of trash have piled up in Thailand. Many individuals don’t use the correct way of waste management because they have lacked knowledge and understanding of how to sort rubbish since childhood. To increase the possibility to fully utilize the knowledge of waste separation correctly, the researcher aims to promote computational thinking through the learning of a game called “Trashman”. This game simulates various objects for situations of sorting garbage into the appropriate sorting bin. Trashman has 3 levels in the game. Each level increases the number of bins and the amount of garbage, starting from level 1-3 which refers to easy, moderate, and difficult levels, respectively. The level indicates the error of separating the waste if putting it into a wrong bin type. The educating about different types of waste separation through the game utilizes Mixed Reality (MR) technology of the Magic Leap One device. The developer’s expectation for an alternative learning medium in the form of a game is to allow players to apply their knowledge by practicing computational skills by sorting garbage correctly. The game evaluates and summarizes scores of each level at the game’s end. This will evaluate player’s performance of CT through their ability separating trash. Moreover, the Sustainable Development Goals can be applied for lifelong learning to follow-up and assessment in furtherance of correct trash sorting.","","978-1-6654-6077-4","10.1109/ICITEE56407.2022.9954123","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9954123","Waste Separation;Mixed Reality Technology;Environment;Computational Thinking","Waste management;Performance evaluation;Mixed reality;Games;Virtual reality;Media;Problem-solving","","","","22","IEEE","23 Nov 2022","","","IEEE","IEEE Conferences"
"Inspiring Computational Thinking: A Science Fair Activity","M. Daniels; A. Pears; A. Nylén","Dept of Information Technology, University of Uppsala, Uppsala, Sweden; Dept of Learning in Engineering Sciences, KTH Royal Institute of Technology, Stockholm, Sweden; Dept of Information Technology, Uppsala University, Uppsala, Sweden",2021 IEEE Frontiers in Education Conference (FIE),"20 Dec 2021","2021","","","1","7","This Research Full Paper introduces a model for structuring playful, challenge-based learning activities drawing on a process of decontextualisation of a challenge to access its Computational Thinking intellectual and conceptual components and subsequent computationalisation of these components into computational artifacts that are recontextualised to render them attractive and accessible to school pupils. The case study follows a thick description approach to evaluating the engagement potential of the instructional design, as well as the didactic choices made during implementation. We conclude that Bebras cards and Dash robots provide considerable support for a playful engagement with computational concepts and engaging children with different scientific backgrounds in Computational Thinking. In particular, flexibility in how they are used and easy adaptation of challenge level make them useful in contexts with broad participation. Additionally we find that using robots to provide a link between the theoretical presentation of CT in the Bebras card and a physical representation and programming challenge is engaging and helps participants to focus on algorithmic concepts.","2377-634X","978-1-6654-3851-3","10.1109/FIE49875.2021.9637141","European Union Horizon 2020 programme H2020-EU.5.d.(grant numbers:787476); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9637141","computational thinking;science fair;school education","Computational modeling;Biological system modeling;Conferences;Documentation;Programming;Ecology;Pupils","","","","16","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Examining theoretical and pedagogical foundations of computational thinking in the context of higher education","F. J. Agbo; S. T. Yigzaw; I. T. Sanusi; S. S. Oyelere; A. H. Mare","School of Computing University of Eastern Finland, Joensuu, Finland; School of Computing University of Eastern Finland, Joensuu, Finland; School of Computing University of Eastern Finland, Joensuu, Finland; School of Computing University of Eastern Finland, Joensuu, Finland; School of Computing University of Eastern Finland, Joensuu, Finland",2021 IEEE Frontiers in Education Conference (FIE),"20 Dec 2021","2021","","","1","8","This research paper examined theories, pedagogics, and contents explored by studies focusing on promoting computational thinking (CT) in higher education institutions (HEIs). CT has become a fundamental approach to building problem-solving skills, which requires a thought process. The field of CT is generally still maturing, and the use of CT as an approach to introduce freshmen to introductory programming courses in HEIs has been gaining scholars' interest in the recent past. To appreciate the strategies explored to promote teaching and learning of CT in HEIs; evaluate scholarly discussions, contributions, and potential impact of studies in this field, there is a need to ground the theoretical constructs that build the foundation for the field. A literature review methodology was adopted in this study. The data collected from the Web of Science, the Scopus, ACM, and ProQuest databases were analyzed to provide answers to the research questions. The findings from this study suggest that constructionism and constructivism are the prevailing learning theories explored by scholars in this field to deploy CT in HEI. Additionally, the study revealed that activity-based learning, problem-based learning, automatic assessment-based learning, and self-regulated or self-reflective learning are the prominent pedagogies used by educators. These findings provided a strong foundation for research in this growing field. Besides, the findings also create an opportunity for positioning CT in HEI's educational curriculum regarding how CT should be taught in that context.","2377-634X","978-1-6654-3851-3","10.1109/FIE49875.2021.9637405","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9637405","Computational thinking;pedagogy;learning theory;higher education;university","Technology acceptance model;Systematics;Learning automata;Education;Bibliometrics;Focusing;Drives","","4","","56","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"When Does Collaborative Interaction Support Learning of Computational Thinking Among Undergraduate Students","B. Chowdhury; D. Kafura; A. Johri","Department of Engineering Education, Virginia Tech; Department of Computer Science, Virginia Tech; Department of Information Sciences & Technology, George Mason University",2022 IEEE Frontiers in Education Conference (FIE),"29 Nov 2022","2022","","","1","7","Collaborative learning has proven to be a productive approach across domains including computer science. Especially for novices, collaboration among learners with diverse experiences, values, and knowledge can be especially effective. However, there is limited research on how collaborative interactions among learners from different undergraduate disciplines manifest during the learning of computational concepts. This qualitative study investigates interaction among learners in small interdisciplinary student groups in an undergraduate computational thinking (CT) class. In analyzing the social interactions of cohort members, the Differentiating Overt Learning Activities (DOLA) framework developed by Chi was used as a starting point. Several themes (e.g. explain-to-other, self-monitor, connect/plan) suggested by Chi’s overt activities framework emerged naturally in the observations. However, several categories that were not explicitly stated in the DOLA framework also emerged. These are: asking a shallow question versus asking an elaborate question, socializing, being confused or expressing frustration, self-talk, and struggle. Analysis of interactions between cohort members revealed that most of the group interactions were active in nature. Barriers to collaborative learning were accentuated when peers were novices. Students who lacked knowledge of computational concepts found it hard to contribute to a discussion, hindering learning, whereas students who had better conceptual understanding were constructive in their interactions, elaborated on a topic, made connections with previous problems, and displayed self-awareness about their understanding.","2377-634X","978-1-6654-6244-0","10.1109/FIE56618.2022.9962505","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9962505","Computational Thinking;Collaboration;Undergraduate Instruction;Qualitative Research;Data Science","Codes;Federated learning;Semantics;Collaboration;Writing;Syntactics;Problem-solving","","","","21","IEEE","29 Nov 2022","","","IEEE","IEEE Conferences"
"Gender Differences in Computational Thinking Skills among Malaysian’s Primary School Students using Visual Programming","O. Abdullah; A. Kamaludin; N. S. A. Rahman","Faculty of Computing, University Malaysia Pahang, Malaysia; Faculty of Computing, University Malaysia Pahang, Malaysia; Faculty of Computing, University Malaysia Pahang, Malaysia",2021 International Conference on Software Engineering & Computer Systems and 4th International Conference on Computational Science and Information Management (ICSECS-ICOCSIM),"17 Sep 2021","2021","","","655","660","Computational Thinking (CT) is a thought process which utilize computer science concepts to solve problem in the real life. One of the methods to develop CT among the Children is by using visual programming to create computational artifacts such as animation and games. This study collected 50 animation and 47 games projects created by the primary school students in standard 6 (12-year-old) from the eight-week lesson using visual programming Scratch. The purpose of the study is to investigate if there is a significant difference between male and female students on CT skills of flow control, logic, data representation, parallelism, synchronization, user interactivity and abstraction. Source code projects were analyzed for CT skills score. Result from Mann-Whitney U test shows the different was not statistically significant between male and female students on CT skills mentioned previously.","","978-1-6654-1407-4","10.1109/ICSECS52883.2021.00125","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9537050","computational thinking skills;visual programming;gender;primary school students","Visualization;Codes;Scientific computing;Games;Parallel processing;Animation;Information management","","2","","26","IEEE","17 Sep 2021","","","IEEE","IEEE Conferences"
"Application of Combination Thinking Model of Inspiration and Action to Effect of Pipa Teaching","C. Zheng","Conservatory of Music, Luoyang Normal University, Luoyang, China",2021 International Wireless Communications and Mobile Computing (IWCMC),"9 Aug 2021","2021","","","1265","1268","Inspiration thinking and action thinking are two important forms of thinking in pipa teaching and playing, which have different characteristics and play an important role in playing action and emotional performance. This paper makes a preliminary analysis of the concepts, characteristics and functions of the two important forms of thinking in pipa performance. Action thinking is a form of thinking that puts thinking in action and plays a unique role in pipa teaching. This article puts forward the application effect of the thinking mode that combines inspiration and action in pipa teaching.","2376-6506","978-1-7281-8616-0","10.1109/IWCMC51323.2021.9498791","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9498791","pipa teaching;thinking model;inspiration;action;pipa playing","Wireless communication;Computational modeling;Education;Auditory system;Standards;Mobile computing","","","","18","IEEE","9 Aug 2021","","","IEEE","IEEE Conferences"
"Spatial Pyramid Pooling With 3D Convolution Improves Lung Cancer Detection","J. L. Causey; K. Li; X. Chen; W. Dong; K. Walker; J. A. Qualls; J. Stubblefield; J. H. Moore; Y. Guan; X. Huang","Department of Computer Science and Molecular Bioscicneces Program, Center for No-Boundary Thinking (CNBT), Arkansas State University, Jonesboro, AR, USA; Department of Computational Medicine & Bioinformatics, University of Michigan, Ann Arbor, MI, USA; Department of Computational Medicine & Bioinformatics, University of Michigan, Ann Arbor, MI, USA; Ann Arbor Algorithm, Ann Arbor, MI, USA; Department of Mathematics and Computer Science, University of Arkansas at Pine Bluff, Pine Bluff, AR, USA; Department of Computer Science and Molecular Bioscicneces Program, Center for No-Boundary Thinking (CNBT), Arkansas State University, Jonesboro, AR, USA; Department of Computer Science and Molecular Bioscicneces Program, Center for No-Boundary Thinking (CNBT), Arkansas State University, Jonesboro, AR, USA; Institute for Biomedical Informatics, University of Pennsylvania, Philadelphia, PA, USA; Department of Computational Medicine & Bioinformatics, University of Michigan, Ann Arbor, MI, USA; Department of Computer Science and Molecular Bioscicneces Program, Center for No-Boundary Thinking (CNBT), Arkansas State University, Jonesboro, AR, USA",IEEE/ACM Transactions on Computational Biology and Bioinformatics,"1 Apr 2022","2022","19","2","1165","1172","Lung cancer is the leading cause of cancer deaths. Low-dose computed tomography (CT)screening has been shown to significantly reduce lung cancer mortality but suffers from a high false positive rate that leads to unnecessary diagnostic procedures. The development of deep learning techniques has the potential to help improve lung cancer screening technology. Here we present the algorithm, DeepScreener, which can predict a patient's cancer status from a volumetric lung CT scan. DeepScreener is based on our model of Spatial Pyramid Pooling, which ranked 16th of 1972 teams (top 1 percent)in the Data Science Bowl 2017 competition (DSB2017), evaluated with the challenge datasets. Here we test the algorithm with an independent set of 1449 low-dose CT scans of the National Lung Screening Trial (NLST)cohort, and we find that DeepScreener has consistent performance of high accuracy. Furthermore, by combining Spatial Pyramid Pooling and 3D Convolution, it achieves an AUC of 0.892, surpassing the previous state-of-the-art algorithms using only 3D convolution. The advancement of deep learning algorithms can potentially help improve lung cancer detection with low-dose CT scans.","1557-9964","","10.1109/TCBB.2020.3027744","National Institutes of Health(grant numbers:U01CA187013); National Science Foundation(grant numbers:1452211,1553680,1723529); National Institutes of Health(grant numbers:R01LM012601); Arkansas Biosciences Institute(grant numbers:#200144); National Institutes of Health(grant numbers:P20GM103429); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9209148","Lung cancer screening;low-dose CT scan;deep learning algorithm;convolutional neural network (CNN);medical imaging","Cancer;Computed tomography;Lung;Biological system modeling;Training;Testing;Machine learning","Algorithms;Early Detection of Cancer;Humans;Lung;Lung Neoplasms;Tomography, X-Ray Computed","12","","25","IEEE","29 Sep 2020","","","IEEE","IEEE Journals"
"Introductory Engineering Courses With Computational Thinking: The Impact of Educational Privilege and Engineering Major Entry Policy on Student Pathways","N. V. Mendoza Diaz; D. A. Trytten; R. Meier","Dept. of Engineering Technology and Industrial Distribution, Texas A&M University, College Station, TX, USA; School of Computer Science, University of Oklahoma, Norman, OK, USA; Dept. of Electrical Engineering and Computer Science, Milwaukee School of Engineering, Milwaukee, WI, USA",2022 IEEE Frontiers in Education Conference (FIE),"29 Nov 2022","2022","","","1","9","This research category paper examines the impact of computational thinking within first-year engineering courses on student pathways into engineering. Computational thinking and programming appear in many introductory engineering courses. Prior work found that early computational thinking development is critical to the formation of engineers. This qualitative research paper extends the research by documenting how pre-university privileges impact first-year student trajectories into engineering through a qualitative examination of student interviews from three institutions with different processes for matriculation into engineering majors. We identify the underlying assumptions of meritocracy that are concealing the role of educational privilege in selecting which engineering students will be allowed to join the field. We provide a suggestion for how institutions can include computational thinking in introductory engineering courses with less risk of furthering the marginalization of students with few academic privileges.","2377-634X","978-1-6654-6244-0","10.1109/FIE56618.2022.9962501","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9962501","diversity;computational thinking;first year curriculum;persistence;matriculation","Trajectory;Interviews;Engineering students;Programming profession","","","","39","IEEE","29 Nov 2022","","","IEEE","IEEE Conferences"
"Computational Thinking Work System Method: A problem-solving method for small and medium enterprises","A. N. A. Nuar; M. Z. A. Rozan; M. Bahari","Information Systems School of Computing, Faculty of Engineering, Universiti Teknologi Malaysia Skudai, Johor Bahru, Malaysia; Information Systems Azman Hashim International Business School, Universiti Teknologi Malaysia Skudai, Johor Bahru, Malaysia; Information Systems Azman Hashim International Business School, Universiti Teknologi Malaysia Skudai, Johor Bahru, Malaysia",2021 International Congress of Advanced Technology and Engineering (ICOTEN),"27 Jul 2021","2021","","","1","8","Computational thinking (CT) has been dubbed as a fundamental skill for the 21st century and can be learned by all. However, little research exists on the practical use of CT in daily life. Therefore, this problem was addressed by applying a design science research approach and situational method engineering to propose an artefact that can help small and medium enterprises (SMEs) in the problem-solving process using CT and the Work System Method (WSM). The resulting artefact offers a systematic way of problem-solving process and allows SMEs to discover process innovation. The study has considerable implications for business owners and IS researchers. The business owner can improve the efficiency of their business process and increase the company's productivity.","","978-1-6654-1224-7","10.1109/ICOTEN52080.2021.9493465","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9493465","computational thinking;small and medium enterprises;design science research;work system method","Productivity;Technological innovation;Systematics;Problem-solving;Business","","1","","57","IEEE","27 Jul 2021","","","IEEE","IEEE Conferences"
"Making a Case for Studying the Effects of Using GitHub on HBCU Students' Computational Thinking Skills","A. E. Johnson","Computer and Information Sciences, Spelman College, Atlanta, USA","2021 Conference on Research in Equitable and Sustained Participation in Engineering, Computing, and Technology (RESPECT)","30 Nov 2021","2021","","","1","2","While preparing students for careers beyond graduation, HBCU faculty often have to balance the priorities of bridging the gap between the level of student preparation and the expected level of preparedness as influenced by industry and discipline standards. Prioritization of these standards does not always align with the experience of students at Historically Black College and Universities (HBCU) and Minority Serving Institutions (MSI). The Association of Computing Machinery (ACM) 2013 Computer Science Curricula guidelines highlight version control as one of many core tools in the Social Issues and Professional Practice (SP) Knowledge Area students should experience in their upper-level software engineering courses. Research has demonstrated that at this level, students receive exposure to the tool but are not able to gain sufficient mastery. Other researchers have advocated for version control being introduced earlier in the computer science curricula. There is limited research that indicates that this particular tool improves the learning outcomes for students or significantly complements the other ACM Knowledge Areas. This paper explores the challenges experienced by an HBCU faculty member while integrating GitHub into an advanced programming class. It is important to note, there is no research that directly addresses the use of version control in predominately African American classrooms.","","978-1-6654-4905-2","10.1109/RESPECT51740.2021.9620585","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9620585","programming education;computing education;version control systems;GitHub","Knowledge engineering;Industries;Engineering profession;Tools;Machinery;Standards;Programming profession","","","","7","IEEE","30 Nov 2021","","","IEEE","IEEE Conferences"
"Towards ‘serendipity engineering for seductive hypermedia’ and ‘user analysis using socialnomics’: The role of ecological cognition","J. Bishop; M. M. H. Goode","Congress of Researchers and Organisations for Cybercommunity, E-Learning and Socialnomics, Berkeley, England; Cardiff Business School, Cardiff University, Cardiff, Wales",2021 International Conference on Computational Science and Computational Intelligence (CSCI),"22 Jun 2022","2021","","","488","494","This paper investigates the long-established ecological cognition framework and updates it to better account for the advances in computational science computational intelligence. To do this, two concepts are explored. The first, ‘serendipity engineering for seductive hypermedia,’ looks at how to design information systems to account for the pleasant occurrences that happen in offline environments studied by those in sales and marketing where beneficial outcomes often occur by chance encounters. The second, ‘user analysis using socialnomics’ looks at how a parametric user model based on the ecological framework can be used to understand users of information systems from the point of view of supporting a digital economy of users. A number of additional equations are developed using socialnomics that can be applied to digital transformation based on the parametric user model, including to calculate probability of seduction and probability of serendipity in an information system. The parametric model presented has great applicability for information and communications technology solution providers.","","978-1-6654-5841-2","10.1109/CSCI54926.2021.00150","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9799097","Captology;Ecological cognition framework;Seductive hypermedia;Serendipity engineering;Socialnomics;User analysis","Scientific computing;Biological system modeling;Digital transformation;Probability;Mathematical models;Cognition;Parametric statistics","","3","","13","IEEE","22 Jun 2022","","","IEEE","IEEE Conferences"
"Developing Computational Thought in Mathematics through Educational Robotics in Basic Education: A practical research analysis","J. F. Oliveira; C. C. Quarto; A. L. Silva Dos Santos; I. C. P. Belfort; E. de Jesus Viana Sá; J. R. S. Santos","Universidade Estadual do Maranhão; Universidade Estadual do Maranhão; Instituto Federal de Educação, Ciência e Tecnologia do Maranhão; Instituto Federal de Educação, Ciência e Tecnologia do Maranhão; Instituto Federal de Educação, Ciência e Tecnologia do Maranhão; Universidade Estadual do Maranhão",2022 International Conference on Advanced Learning Technologies (ICALT),"17 Aug 2022","2022","","","27","29","This article aims to highlight the benefits of teaching computational thinking and developing mathematical logic in the classroom with beginning basic students using educational robotics. In the research, it was observed that such resources can facilitate learning and enhance new and pleasant discoveries in academic environments for knowledge construction and such practices can improve results, findings supported by these experiments that were carried out.","2161-377X","978-1-6654-9519-6","10.1109/ICALT55010.2022.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9853737","Computational thinking;Logical thinking;Educational robotics","Education;Mathematics;Robots","","","","22","IEEE","17 Aug 2022","","","IEEE","IEEE Conferences"
"Computational Thinking in Greek Educational System for K-12: towards the future teaching approach","I. Dimos; C. Velaora; A. Kakarountas","Dept. of Computer Science and Biomedical Informatics, University of Thessaly, Lamia, Greece; Dept. of Computer Science and Biomedical Informatics, University of Thessaly, Lamia, Greece; Dept. of Computer Science and Biomedical Informatics, University of Thessaly, Lamia, Greece",2022 Panhellenic Conference on Electronics & Telecommunications (PACET),"14 Dec 2022","2022","","","1","6","Computational thinking is considered an important skill set for 21st-century learners and became a subject of focus in K-12 education in recent years. It cultivates problem-solving and algorithmic thinking and can be helpful in wider aspects of everyday life, besides programming and computer science. In this paper, we investigated what is the Greek Primary and Secondary School Teachers’ understanding and awareness as far as Computational Thinking is concerned. Since teachers are the agents of change, it is critical to find out how familiar and/or skilled they are with the Computational Thinking notion. Thus, we applied a qualitative questionnaire all over the whole Greek State where 406 teachers answered. The study led to a number of interesting conclusions regarding the teacher’s readiness, as well as more generic aspects according to their profile and faculty.","","979-8-3503-9958-5","10.1109/PACET56979.2022.9976359","European Social Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9976359","computational thinking;teachers;curriculum;skills;education","Training;Telecommunications;Problem-solving;Programming profession","","1","","34","IEEE","14 Dec 2022","","","IEEE","IEEE Conferences"
"Technological tool to assess computational thinking","Á. M. M. Muñoz; S. A. C. Torres; C. C. R. Molina; W. S. V. Cardona","Programa de Doctorado en Ciencias de la Educación, Universidad del Quindío, Institución Educativa General Santander, Armenia, Colombia; Programa de Ingeniería de Sistemas y Computación, Universidad del Quindío, Armenia, Colombia; Programa de Ingeniería de Sistemas y Computación, Universidad del Quindío, Armenia, Colombia; Programa de Ingeniería de Sistemas y Computación, Universidad del Quindío, Armenia, Colombia",2022 XVII Latin American Conference on Learning Technologies (LACLO),"20 Jan 2023","2022","","","1","9","The educational challenges of society permeated by digital technologies are aimed at developing skills to identify and solve environment problems. In this context, computational thinking (CT) emerges as a set of skills to be developed from an early age, which requires the empowerment of programming and demands the use of technological tools. The purpose of this article is to present the design and implementation process of a computer tool for CT evaluation, as well as its validation with a sample of elementary school students from a public institution in Colombia. The methodology focuses on the phases of the SCRUM development process. The results show that women perceive less difficulty in understanding the activities to be solved. It is possible to obtain a web application type software taking into account the evaluated characteristics of the tools used for CT teaching, covering most of these, and with special emphasis on some such as the content in Spanish, instructional model, management of the course, learning activities, monitoring, feedback and gamification.","","978-1-6654-6521-2","10.1109/LACLO56648.2022.10013387","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10013387","computational thinking;assessment;digital skills;technological support","Software;Computational modeling;Visualization;Programming profession;Monitoring;Medical services;Manuals","","","","","IEEE","20 Jan 2023","","","IEEE","IEEE Conferences"
"Using Visualization to Teach an Introductory Programming Course with Python","Z. Xu; X. Shen; S. Lin; F. Zhang","School of Media Engineering Communication University of Zhejiang, Hangzhou, China; School of Media Engineering Communication University of Zhejiang, Hangzhou, China; School of Media Engineering Communication University of Zhejiang, Hangzhou, China; School of Media Engineering Communication University of Zhejiang, Hangzhou, China",2021 11th International Conference on Information Technology in Medicine and Education (ITME),"15 Apr 2022","2021","","","514","518","More and more colleges have offered introductory programming courses for students from different majors, aiming to cultivate students' computational thinking skills. However, teaching introductory programming courses, especially to freshmen, remains a challenging endeavor despite a lot of research and experiments. In this paper we presented our innovative teaching strategy and its implementation both with the utilization of visualization in an introductory Python programming course. The results from our comparative teaching experiments show that visualization could benefit students a lot in learning Python programming and improving their computational thinking abilities.","2474-3828","978-1-6654-0679-6","10.1109/ITME53901.2021.00109","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9750637","visual programming;collaborative learning;Python;computational thinking","Visualization;Education;Information technology;Programming profession;Python","","1","","29","IEEE","15 Apr 2022","","","IEEE","IEEE Conferences"
