author,title,journal,volume,number,pages,year,publisher,doi
"Yuan-Chen Liu, Tzu-Hua Huang and Chia-Ling Sung",The determinants of impact of personal traits on computational thinking with programming instruction,Interactive Learning Environments,31,8,4835--4849,2023,Routledge,10.1080/10494820.2021.1983610
"Heather J. Lavigne, Ashley Lewis-Presser and Deborah Rosenfeld",An exploratory approach for investigating the integration of computational thinking and mathematics for preschool children,Journal of Digital Learning in Teacher Education,36,1,63--77,2020,Routledge,10.1080/21532974.2019.1693940
Lewis Lancaster,Computational thinking: a case study of Buddhist terminology using new software,Journal of World Languages,1,1,7--17,2014,Routledge,10.1080/21698252.2014.893674
Mary-Alice Hudson and Youngkyun Baek,Increasing Elementary Students’ Computational Thinking Skills Using a Multifaceted Robotics-Based Intervention,Computers in the Schools,39,1,16--40,2022,Routledge,10.1080/07380569.2022.2037295
"Abeera P. Rehmat, Hoda Ehsan and Monica E. Cardella",Instructional strategies to promote computational thinking for young learners,Journal of Digital Learning in Teacher Education,36,1,46--62,2020,Routledge,10.1080/21532974.2019.1693942
"Robin Jocius, Candace Joswick, Jennifer Albert, Deepti Joshi and Melanie Blanton",Towards pedagogical content knowledge learning trajectories: tracing elementary teachers’ infusion of computational thinking,Professional Development in Education,0,0,1--20,2023,Routledge,10.1080/19415257.2023.2228813
Aharon Gero and Ilya Levin,Computational thinking and constructionism: creating difference equations in spreadsheets,International Journal of Mathematical Education in Science and Technology,50,5,779--787,2019,Taylor \& Francis,10.1080/0020739X.2018.1501827
"Mariluz Guenaga, Andoni Eguíluz, Pablo Garaizar and Juanjo Gibaja",How do students develop computational thinking? Assessing early programmers in a maze-based online game,Computer Science Education,31,2,259--289,2021,Routledge,10.1080/08993408.2021.1903248
"Peter J. Rich, Scott Bartholomew, David Daniel, Kenzie Dinsmoor, Meagan Nielsen, Connor Reynolds, Meg Swanson, Ellyse Winward and Jessica Yauney",Trends in tools used to teach computational thinking through elementary coding,Journal of Research on Technology in Education,56,3,269--290,2024,Routledge,10.1080/15391523.2022.2121345
"Mahboobeh Mehrvarz, Fahimeh Keshavarzi, Elham Heidari and Bruce M. McLaren",Improving computational thinking: the role of students’ networking skills and digital informal learning,Interactive Learning Environments,0,0,1--15,2023,Routledge,10.1080/10494820.2023.2249049
"Eric Snow, Daisy Rutstein, Satabdi Basu, Marie Bienkowski and Howard T. Everson",Leveraging Evidence-Centered Design to Develop Assessments of Computational Thinking Practices,International Journal of Testing,19,2,103--127,2019,Routledge,10.1080/15305058.2018.1543311
Roxana Hadad,The use of makerspaces for the development of computational thinking skills and dispositions: pedagogical practices facilitators use,Computer Science Education,0,0,1--40,2024,Routledge,10.1080/08993408.2024.2374679
"Ying-Hsun Lai, Shih-Yeh Chen, Chin-Feng Lai, Yao-Chung Chang and Yu-Sheng Su",Study on enhancing AIoT computational thinking skills by plot image-based VR,Interactive Learning Environments,29,3,482--495,2021,Routledge,10.1080/10494820.2019.1580750
Douglas B. Clark and Pratim Sengupta,Reconceptualizing games for integrating computational thinking and science as practice: collaborative agent-based disciplinarily-integrated games,Interactive Learning Environments,28,3,328--346,2020,Routledge,10.1080/10494820.2019.1636071
"Deborah Fields, Debora Lui, Yasmin Kafai, Gayithri Jayathirtha, Justice Walker and Mia Shaw",Communicating about computational thinking: understanding affordances of portfolios for assessing high school students’ computational thinking and participation practices,Computer Science Education,31,2,224--258,2021,Routledge,10.1080/08993408.2020.1866933
"Danielle Herro, Cassie Quigley, Holly Plank, Oluwadara Abimbade and Aileen Owens",Instructional practices promoting computational thinking in STEAM elementary classrooms,Journal of Digital Learning in Teacher Education,38,4,158--172,2022,Routledge,10.1080/21532974.2022.2087125
"Jody Clarke-Midura, Deborah Silvis, Jessica F. Shumway, Victor R. Lee and Joseph S. Kozlowski",Developing a kindergarten computational thinking assessment using evidence-centered design: the case of algorithmic thinking,Computer Science Education,31,2,117--140,2021,Routledge,10.1080/08993408.2021.1877988
"Ugur Kale, Jiangmei Yuan and Abhik Roy",Thinking processes in code.org: A relational analysis approach to computational thinking,Computer Science Education,33,4,545--566,2023,Routledge,10.1080/08993408.2022.2145549
"Satabdi Basu, Daisy W. Rutstein, Yuning Xu, Haiwen Wang and Linda Shear",A principled approach to designing computational thinking concepts and practices assessments for upper elementary grades,Computer Science Education,31,2,169--198,2021,Routledge,10.1080/08993408.2020.1866939
"Brian D. Gane, Maya Israel, Noor Elagha, Wei Yan, Feiya Luo and James W. Pellegrino",Design and validation of learning trajectory-based assessments for computational thinking in upper elementary grades,Computer Science Education,31,2,141--168,2021,Routledge,10.1080/08993408.2021.1874221
"Zetra Hainul Putra, Ramiati, Zufriady, Riyan Hidayat, Jismulatif, Neni Hermita and Urip Sulistiyo","Development of computational thinking tasks based on Riau Malay culture: a study of fifth-grade public school students in Pekanbaru, Indonesia",Education 3-13,0,0,1--11,2022,Routledge,10.1080/03004279.2022.2150063
"Binti Muchsini,   Siswandari,   Gunarhadi and   Wiranto",Promoting college students’ computational thinking: the use of constructionism-based accounting spreadsheets designing activities,Cogent Education,10,1,2222866,2023,Cogent OA,10.1080/2331186X.2023.2222866
"Ann D. Thompson, Denise L. Lindstrom and Denise A. Schmidt-Crawford",Computational Thinking: What Went Wrong?,Journal of Digital Learning in Teacher Education,36,1,4--5,2020,Routledge,10.1080/21532974.2019.1696641
Heidi Cian and Alexandria Brasili,Rural Elementary Teachers’ Computational Thinking Self-Efficacy Through Community-Based Citizen Science,Journal of Science Teacher Education,0,0,1--23,2024,Routledge,10.1080/1046560X.2024.2375843
Beth Murphy,Computational Thinking and Why It Matters,Connected Science Learning,5,1,12318620,2023,Routledge,10.1080/24758779.2023.12318620
Gary Ka-Wai Wong and Ho-Yin Cheung,Exploring children’s perceptions of developing twenty-first century skills through computational thinking and programming,Interactive Learning Environments,28,4,438--450,2020,Routledge,10.1080/10494820.2018.1534245
"Erin Peters-Burton, Peter Jacob Rich, Anastasia Kitsantas, Laura Laclede and Stephanie M. Stehle",High School Science Teacher Use of Planning Tools to Integrate Computational Thinking,Journal of Science Teacher Education,33,6,598--620,2022,Routledge,10.1080/1046560X.2021.1970088
"SooJin Jun, SeonKwan Han and SooHwan Kim",Effect of design-based learning on improving computational thinking,Behaviour \& Information Technology,36,1,43--53,2017,Taylor \& Francis,10.1080/0144929X.2016.1188415
"Xanthippi Tsortanidou, Thanasis Daradoumis and Elena Barberá-Gregori",Unplugged computational thinking at K-6 education: evidence from a multiple-case study in Spain,Education 3-13,51,6,948--965,2023,Routledge,10.1080/03004279.2022.2029924
Samrat Gupta and Amit Anand Tiwari,A design-based pedagogical framework for developing computational thinking skills,Journal of Decision Systems,31,4,433--450,2022,Taylor \& Francis,10.1080/12460125.2021.1943880
"Breanne K. Litts, Whitney E. Lewis and Chase K. Mortensen",Engaging youth in computational thinking practices through designing place-based mobile games about local issues,Interactive Learning Environments,28,3,302--315,2020,Routledge,10.1080/10494820.2019.1674883
"Berenice Alfaro-Ponce, Azeneth Patiño and Jorge Sanabria-Z",Components of computational thinking in citizen science games and its contribution to reasoning for complexity through digital game-based learning: A framework proposal,Cogent Education,10,1,2191751,2023,Cogent OA,10.1080/2331186X.2023.2191751
Wanli Xing,Large-scale path modeling of remixing to computational thinking,Interactive Learning Environments,29,3,414--427,2021,Routledge,10.1080/10494820.2019.1573199
Ermias Abebe Kassa and Enguday Ademe Mekonnen,Computational thinking in the Ethiopian secondary school ICT curriculum,Computer Science Education,32,4,502--531,2022,Routledge,10.1080/08993408.2022.2095594
Duygu Umutlu,An exploratory study of pre-service teachers’ computational thinking and programming skills,Journal of Research on Technology in Education,54,5,754--768,2022,Routledge,10.1080/15391523.2021.1922105
"Kaan Bati, Mehmet Ikbal Yetişir, Ilke Çalişkan, Gökhan Güneş and Esma Gül Saçan",Teaching the concept of time: A steam-based program on computational thinking in science education,Cogent Education,5,1,1507306,2018,Cogent OA,10.1080/2331186X.2018.1507306
"Lijun Shen, Zitsi Mirakhur and Sarah LaCour",Investigating the psychometric features of a locally designed computational thinking assessment for elementary students,Computer Science Education,0,0,1--20,2024,Routledge,10.1080/08993408.2024.2344400
"Silvia Wen-Yu Lee, Jyh-Chong Liang, Chung-Yuan Hsu and Meng-Jung Tsai",Students’ beliefs about computer programming predict their computational thinking and computer programming self-efficacy,Interactive Learning Environments,0,0,1--21,2023,Routledge,10.1080/10494820.2023.2194929
"Min Jou, Pei-Chi Chen and Jingying Wang",The developmental characteristics of computational thinking and its relationship with technical skills: taking the department of engineering as an example,Interactive Learning Environments,31,6,3380--3395,2023,Routledge,10.1080/10494820.2021.1928236
"Isaac M. Matere, Cathy Weng, Melese Astatke, Chih-Hsien Hsia and Chen-Guo Fan",Effect of design-based learning on elementary students computational thinking skills in visual programming maker course,Interactive Learning Environments,31,6,3633--3646,2023,Routledge,10.1080/10494820.2021.1938612
Chi-Jen Lin and Husni Mubarok,Promoting young learners’ computational thinking with AI-based robots and the ICAP model in blended learning contexts,Interactive Learning Environments,0,0,1--15,2024,Routledge,10.1080/10494820.2024.2308101
"José Miguel Merino-Armero, José Antonio González-Calero and Ramón Cózar-Gutiérrez",The effect of after-school extracurricular robotic classes on elementary students’ computational thinking,Interactive Learning Environments,31,6,3939--3950,2023,Routledge,10.1080/10494820.2021.1946564
Dana Christensen and Doug Lombardi,Biological evolution learning and computational thinking: Enhancing understanding through integration of disciplinary core knowledge and scientific practice,International Journal of Science Education,45,4,293--313,2023,Routledge,10.1080/09500693.2022.2160221
"Aman Yadav, Christina Krist, Jon Good and Elisa Nadire Caeli",Computational thinking in elementary classrooms: measuring teacher understanding of computational ideas for teaching science,Computer Science Education,28,4,371--400,2018,Routledge,10.1080/08993408.2018.1560550
"Xanthippi Tsortanidou, Thanasis Daradoumis and Elena Barberá",A K-6 computational thinking curricular framework: pedagogical implications for teaching practice,Interactive Learning Environments,31,8,4903--4923,2023,Routledge,10.1080/10494820.2021.1986725
Fábio Machuqueiro and João Piedade,Modern board games and computational thinking: results of a systematic analysis process,Educational Media International,61,1-2,161--183,2024,Routledge,10.1080/09523987.2024.2359762
"Suzannie K. Y. Leung, Joseph Wu and Jenny Wanyi Li",Children’s knowledge construction of computational thinking in a play-based classroom,Early Child Development and Care,194,2,208--229,2024,Routledge,10.1080/03004430.2023.2299405
Haiyan Cai and Gary K. W. Wong,A systematic review of studies of parental involvement in computational thinking education,Interactive Learning Environments,0,0,1--24,2023,Routledge,10.1080/10494820.2023.2214185
"MiJeong Kim, JaMee Kim and WonGyu Lee",Enhancing computational thinking in students with autism spectrum disorder and intellectual disabilities: a robot programming approach,International Journal of Developmental Disabilities,0,0,1--16,2024,Taylor \& Francis,10.1080/20473869.2024.2394735
"Ji Shen, Guanhua Chen, Lauren Barth-Cohen, Shiyan Jiang and Moataz Eltoukhy",Connecting computational thinking in everyday reasoning and programming for elementary school students,Journal of Research on Technology in Education,54,2,205--225,2022,Routledge,10.1080/15391523.2020.1834474
"Bin Tan, Hao-Yue Jin and Maria Cutumisu",The applications of machine learning in computational thinking assessments: a scoping review,Computer Science Education,34,2,193--221,2024,Routledge,10.1080/08993408.2023.2245687
Woonhee Sung and John B. Black,Factors to consider when designing effective learning: Infusing computational thinking in mathematics to support thinking-doing,Journal of Research on Technology in Education,53,4,404--426,2021,Routledge,10.1080/15391523.2020.1784066
"Robin Jocius, Jennifer Albert, Rachana Bhonsle, Deepti Joshi, W. Ian O’Byrne and Melanie Blanton",Connecting a Community Through Computational Thinking and Robotics,Connected Science Learning,5,1,12318624,2023,Routledge,10.1080/24758779.2023.12318624
"Chee-Kit Looi, Meng-Leong How, Wu Longkai, Peter Seow and Liu Liu",Analysis of linkages between an unplugged activity and the development of computational thinking,Computer Science Education,28,3,255--279,2018,Routledge,10.1080/08993408.2018.1533297
"Feng Wang, Jun Huang, Xiao-Li Zheng, Jun-Qi Wu and An-Ping Zhao",STEM activities for boosting pupils’ computational thinking and reducing their cognitive load: Roles of argumentation scaffolding and mental rotation,Journal of Research on Technology in Education,0,0,1--20,2024,Routledge,10.1080/15391523.2024.2398504
"Bayan Masarwa, Hagit Hel-Or and Sharona T. Levy",Kindergarten Children’s Learning of Computational Thinking With the “Sorting Like a Computer” Learning Unit,Journal of Research in Childhood Education,38,2,165--188,2024,Routledge,10.1080/02568543.2023.2221319
Kajsa Bråting and Cecilia Kilhamn,Exploring the intersection of algebraic and computational thinking,Mathematical Thinking and Learning,23,2,170--185,2021,Routledge,10.1080/10986065.2020.1779012
"Dorothy Bennett, Cornelia Brunner, Nicholas Hartmann and Stephen Uzzo",Using Open-World Games to Support Inclusive Approaches to Computational Thinking,Connected Science Learning,5,1,12318625,2023,Routledge,10.1080/24758779.2023.12318625
"Kyungbin Kwon, Minji Jeon, Meize Guo, Ge Yan, Jiyoung Kim, Anne T. Ottenbreit-Leftwich and Thomas A. Brush",Computational thinking practices: Lessons learned from a problem-based curriculum in primary education,Journal of Research on Technology in Education,55,4,590--607,2023,Routledge,10.1080/15391523.2021.2014372
"Xiangling Zhang, Ahmed Tlili, Junhong Guo, David Griffiths, Ronghuai Huang, Chee-Kit Looi and Daniel Burgos",Developing rural Chinese children’s computational thinking through ­game-based learning and parental involvement,The Journal of Educational Research,116,1,17--32,2023,Routledge,10.1080/00220671.2023.2167798
Wendy Huang and Chee-Kit Looi,A critical review of literature on “unplugged” pedagogies in K-12 computer science and computational thinking education,Computer Science Education,31,1,83--111,2021,Routledge,10.1080/08993408.2020.1789411
"Lihui Sun, Zhen Guo and Linlin Hu",Educational games promote the development of students’ computational thinking: a meta-analytic review,Interactive Learning Environments,31,6,3476--3490,2023,Routledge,10.1080/10494820.2021.1931891
Minji Yun and Kent J. Crippen,Computational Thinking Integration into Pre-Service Science Teacher Education: A Systematic Review,Journal of Science Teacher Education,0,0,1--30,2024,Routledge,10.1080/1046560X.2024.2390758
"Rafi Santo, Anne Drew Hu, David Phelps, Secil Caskurlu, Kyle Dunbar and Aman Yadav",“These two worlds are antithetical”: epistemic tensions in integrating computational thinking in K12 humanities and arts,Computer Science Education,0,0,1--37,2024,Routledge,10.1080/08993408.2024.2380163
Tianxiao Yang and Jongpil Cheon,Investigating the discrepancy between students’ self-efficacy and their performance regarding computational thinking,Computer Science Education,0,0,1--22,2024,Routledge,10.1080/08993408.2024.2403970
"Beverly B. Ray, Reenay R. H. Rogers and Jennifer Gallup",Coding and Computational Thinking in the Social Studies: Teachers’ Perspectives,Journal of Digital Learning in Teacher Education,38,2,89--101,2022,Routledge,10.1080/21532974.2022.2074581
Kaan Bati and Mehmet İkbal Yetişir,Examination of Turkish Middle School STEM Teachers' Knowledge about Computational Thinking and Views Regarding Information and Communications Technology,Computers in the Schools,38,1,57--73,2021,Routledge,10.1080/07380569.2021.1882206
Raja Ridgway,Interdisciplinary Ideas: The Intentional Integration of Computational Thinking,Science Scope,44,5,6--9,2021,Routledge,10.1080/08872376.2021.12291409
"Kyungbin Kwon, Minji Jeon, Chen Zhou, Keunjae Kim and Thomas A. Brush",Embodied learning for computational thinking in early primary education,Journal of Research on Technology in Education,56,4,410--430,2024,Routledge,10.1080/15391523.2022.2158146
"Mete Akcaoglu, Meryem Şeyda Özcan and Charles B. Hodges",Exploring the Relationship among Motivational Constructs and Preservice Teachers’ Use of Computational Thinking in Classrooms,Computers in the Schools,40,2,213--229,2023,Routledge,10.1080/07380569.2023.2172987
"Sarah Bonner, Peggy Chen, Kristi Jones and Brandon Milonovich",Formative Assessment of Computational Thinking: Cognitive and Metacognitive Processes,Applied Measurement in Education,34,1,27--45,2021,Routledge,10.1080/08957347.2020.1835912
"Yang Liu, Xiang Guo and Yuzhong Zhang",The relationship between computational thinking and mental rotation ability: a functional near-infrared spectroscopy study,Journal of Cognitive Psychology,36,6,754--768,2024,Routledge,10.1080/20445911.2024.2371176
Ayodele Abosede Ogegbo and Umesh Ramnarain,Teachers’ Perceptions of and Concerns About Integrating Computational Thinking into Science Teaching After a Professional Development Activity,"African Journal of Research in Mathematics, Science and Technology Education",26,3,181--191,2022,Routledge,10.1080/18117295.2022.2133739
Varvara Garneli and Konstantinos Chorianopoulos,Programming video games and simulations in science education: exploring computational thinking through code analysis,Interactive Learning Environments,26,3,386--401,2018,Routledge,10.1080/10494820.2017.1337036
"Emi Iwatani, Merijke Coenraad and Kyle M. Dunbar",Bridging cultures and computing: Exploring the relationship between Appalachian problem solving and computational thinking,Journal of Research on Technology in Education,0,0,1--17,2024,Routledge,10.1080/15391523.2024.2399257
"George Gadanidis, Erin Clements and Chris Yiu","Group Theory, Computational Thinking, and Young Mathematicians",Mathematical Thinking and Learning,20,1,32--53,2018,Routledge,10.1080/10986065.2018.1403542
"Danielle Herro, Cassie Quigley, Holly Plank and Oluwadara Abimbade",Understanding students’ social interactions during making activities designed to promote computational thinking,The Journal of Educational Research,114,2,183--195,2021,Routledge,10.1080/00220671.2021.1884824
Maya Israel and Todd Lash,From classroom lessons to exploratory learning progressions: mathematics + computational thinking,Interactive Learning Environments,28,3,362--382,2020,Routledge,10.1080/10494820.2019.1674879
"Lihui Sun, Linlin Hu, Danhua Zhou and Weipeng Yang",Evaluation and developmental suggestions on undergraduates’ computational thinking: a theoretical framework guided by Marzano’s new taxonomy,Interactive Learning Environments,31,10,6588--6610,2023,Routledge,10.1080/10494820.2022.2042311
Ali Akkaya and Yavuz Akpinar,Experiential serious-game design for development of knowledge of object-oriented programming and computational thinking skills,Computer Science Education,32,4,476--501,2022,Routledge,10.1080/08993408.2022.2044673
"David Weintrop, Daisy Wise Rutstein, Marie Bienkowski and Steven McGee",Assessing computational thinking: an overview of the field,Computer Science Education,31,2,113--116,2021,Routledge,10.1080/08993408.2021.1918380
Ümmühan Avcı,The effect of cognitive flexibility on students’ spatial visualization abilities and computational thinking skills in a three-dimensional design and coding training,Research in Science \& Technological Education,0,0,1--27,2024,Routledge,10.1080/02635143.2024.2355199
"Fatih Özdinç, Gökhan Kaya, Filiz Mumcu and Bahadır Yıldız",Integration of computational thinking into STEM activities: an example of an interdisciplinary unplugged programming activity,Science Activities,59,3,151--159,2022,Routledge,10.1080/00368121.2022.2071817
"Ching-Huei Chen, Tung-Kai Liu and Kun Huang",Scaffolding vocational high school students’ computational thinking with cognitive and metacognitive prompts in learning about programmable logic controllers,Journal of Research on Technology in Education,55,3,527--544,2023,Routledge,10.1080/15391523.2021.1983894
"Bess Caplan, Beth Covitt, Garrett Love, Alan R. Berkowitz, Kristin L. Gunckel, Chelsea McClure and John C. Moore",Using Computational Thinking and Modeling to Build Water and Watershed Literacy,Connected Science Learning,3,2,12318685,2021,Routledge,10.1080/24758779.2021.12318685
Zerrin Dagli and Hatice Sancar Tokmak,Exploring high school computer science course teachers’ instructional design processes for improving students’ “computational thinking” skills,Journal of Research on Technology in Education,54,4,511--534,2022,Routledge,10.1080/15391523.2021.1881844
Beth Murphy,"Coding, and Computer Science, and Computational Thinking—Oh My!",Connected Science Learning,3,2,12318680,2021,Routledge,10.1080/24758779.2021.12318680
Ayşe Çiftçi and Mustafa Sami Topçu,Improving early childhood pre-service teachers’ computational thinking teaching self-efficacy beliefs in a STEM course,Research in Science \& Technological Education,41,4,1215--1241,2023,Routledge,10.1080/02635143.2022.2036117
"Xinyi Huang, Sarah Kettley and Sophia Lycouris",Developing Shape Change-Based Fashion Prototyping Strategies: Enhancing Computational Thinking in Fashion Practice and Creativity,Fashion Practice,16,2,282--310,2024,Routledge,10.1080/17569370.2024.2335615
"Gang Yang, Dan Zheng, Ji-Huan Chen, Qun-Fang Zeng, Yun-Fang Tu and Xiao-Li Zheng","The effects of a role-play-based micro-game strategy on students’ computational thinking, learning engagement and learning motivation",Interactive Learning Environments,0,0,1--21,2023,Routledge,10.1080/10494820.2023.2223239
Christopher Petrie,Design and use of domain-specific programming platforms: interdisciplinary computational thinking with EarSketch and TunePad,Computer Science Education,0,0,1--34,2023,Routledge,10.1080/08993408.2023.2240657
Wenhui Liu and Linlin Hu,Unplugged programming practice in Chinese rural primary schools: a method to foster students’ computational thinking and resilience,Interactive Learning Environments,0,0,1--21,2024,Routledge,10.1080/10494820.2024.2349883
"Erdogan Kaya, Anna Newley, Ezgi Yesilyurt and Hasan Deniz",Measuring Computational Thinking Teaching Efficacy Beliefs of Preservice Elementary Teachers,Journal of College Science Teaching,49,6,55--64,2020,Routledge,10.1080/0047231X.2020.12290665
Ben Williamson,"Political computational thinking: policy networks, digital governance and ‘learning to code’",Critical Policy Studies,10,1,39--58,2016,Routledge,10.1080/19460171.2015.1052003
