"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Beyond Minecraft: Facilitating Computational Thinking through Modeling and Programming in 3D","A. Repenning; D. C. Webb; C. Brand; F. Gluck; R. Grover; S. Miller; H. Nickerson; M. Song",University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder,IEEE Computer Graphics and Applications,"12 May 2014","2014","34","3","68","71","Visual programming in 3D sounds much more appealing than programming in 2D, but what are its benefits? Here, University of Colorado Boulder educators discuss the differences between 2D and 3D regarding three concepts connecting computer graphics to computer science education: ownership, spatial thinking, and syntonicity.","1558-1756","","10.1109/MCG.2014.46","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6813968","Three-dimensional displays;Programming profession;Games;Solid modeling;Computational modeling;Educational institutions;conversational programming;Three-dimensional displays;Programming profession;Games;Solid modeling;Computational modeling;Educational institutions;graphics;3D programming;AgentSheets;AgentCubes;computational thinking;computer science education;computer graphics;3D design;computer programming;spatial thinking;syntonicity","Three-dimensional displays;Programming profession;Games;Solid modeling;Computational modeling;Educational institutions","","29","","4","IEEE","12 May 2014","","","IEEE","IEEE Magazines"
"Discussing the Challenges Related to Deployment of Computational Thinking in Brazilian Basic Education","T. Carvalho; D. Andrade; J. Silveira; V. Auler; S. Cavalheiro; M. Aguiar; L. Foss; A. Pernas; R. Reiser","Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil; Technology Development Center, Federal University of Pelotas, Pelotas, Rio Grande do Sul, Brazil",2013 2nd Workshop-School on Theoretical Computer Science,"27 Mar 2014","2013","","","111","115","Computational thinking aims to employ Computer Science foundations to solve problems in different knowledge areas. This paper describes projects related to computational thinking and starts a discussion on the challenges for implementing computational thinking in primary and secondary education in Brazil.","","978-1-4799-3057-9","10.1109/WEIT.2013.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6778575","Computational thinking;Basic education;Informatics in education;Computer-aided learning;Constructive thinking","Educational institutions;Computer science;Games;Proposals;Computers;Google","","4","","18","IEEE","27 Mar 2014","","","IEEE","IEEE Conferences"
"Enhancing Synergy Among Engineering Educators through Computational Thinking","C. A. N. Johnson; M. F. Bin Daud; M. B. Arsat; W. N. Bt. Wan Hussin; E. I. Egba","Centre for Engineering Education, Niger Delta University, Bayelsa State, Nigeria; Faculty of Mechanical Engineering, Universiti Teknologi Malaysia; Faculty of Education, Universiti Teknologi Malaysia, Johor, Malaysia; Faculty of Mechanical Engineering, Universiti Teknologi Malaysia; Department of Technology and Vocational Education, Ebonyi State University, Abakaliki, Ebonyi State, Nigeria",2017 7th World Engineering Education Forum (WEEF),"20 Sep 2018","2017","","","636","641","Observations have shown the need of adequate collaboration among the engineering educators for effective achievement of its goals. Nevertheless, there have been reports of the inadequate relationship among engineering educators. Consequently, it is vital to develop strategies to boost the synergy among the parties. Computational Thinking (CT) could be a dependable approach. This paper presents ways of ensuring synergy among engineering educators through computational thinking. A questionnaire survey that sought information from the respondents on the ways computational thinking: promotes thinking abilities, reduces personal clashes, and improves decision-making process among the engineering educators was administered to 400 respondents. 348 survey answers were returned, found reliable and used in the data analysis. The analysis revealed that computational thinking plays vital roles in the repositioning of engineering education for solving of novel problems, assurance of mutual respect among educators, and intensive research for renown engineering education with relative contribution index above 0.8. The paper recommends the development of a computational thinking based comprehensive engineering educators' synergy framework as a suggestion for future research.","","978-1-5386-1523-2","10.1109/WEEF.2017.8467140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8467140","synergy;engineering educators;computational thinking;higher education;engineering discipline","Engineering education;Decision making;Teamwork;Instruments;Computational modeling;Solid modeling","","","","18","IEEE","20 Sep 2018","","","IEEE","IEEE Conferences"
"A Model of Cultivating Computational Thinking Based on Visual Programming","M. Xiao; X. Yu","East China Normal University ECNU, Shanghai, China; East China Normal University ECNU, Shanghai, China",2017 International Conference of Educational Innovation through Technology (EITT),"12 Mar 2018","2017","","","75","80","The traditional information technology course focuses on the learning of programming tools and ignores the development of students' Computational Thinking. The emergence of visual programming tools provides a new opportunity for the training of Computational Thinking. On the basis of studying the limitations of thinking training in the traditional information technology class and the advantages of visual programming in computational thinking, this paper proposes a computational thinking training model based on visual programming. The model based on project adopt the combination of teaching plan and learning plan to design teaching and cultivate Computational Thinking. Applying this model to the actual teaching process by designing a teaching case based on the visual programming tool App Inventor, the experimental results show that the Computational Thinking of students in this model is improved in formalization and modeling. Through proposing this model and verifying its validity, we can provide the feasibility and research ideas for further studies by using visual programming to cultivate students' Computational Thinking.","","978-1-5386-0629-2","10.1109/EITT.2017.26","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8308511","Computer Thinking;Visual Programming;Projectbased Learning","Visualization;Computational modeling;Tools;Training;Programming profession","","6","","9","IEEE","12 Mar 2018","","","IEEE","IEEE Conferences"
"Using Computational Thinking Patterns to Scaffold Program Design in Introductory Programming Course","C. -K. Chang","Department of Information and Learning Technology, National University of Tainan, Tainan, R.O.C",2016 5th IIAI International Congress on Advanced Applied Informatics (IIAI-AAI),"1 Sep 2016","2016","","","397","400","Visual programming languages (VPLs), such as Scratch and StarLogo TNG, can make computer science education more accessible to everyone. Current researches in the study of using VPLs for educational purposes primarily focus on understanding motivational benefits and computational thinking gains. All these educational VPLs claim to scaffold students learning computational thinking concepts. Although the evaluations show that students may exhibit more enthusiasm, it is not clear what computational thinking concepts are actually learned by students. In this paper, we attempt to develop a visual programs recognition tool for student-created StarLogo TNG simulations which representing the computational thinking concepts implemented by the students. Through collecting student's created projects over time, this visual programs recognition tool can possibly indicate the patterns of computational thinking in science simulations created by StarLogo TNG.","","978-1-4673-8985-3","10.1109/IIAI-AAI.2016.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7557641","Visual programming languages;computer science education;computational thinking;StarLogo TNG","Computational modeling;Programming profession;Visualization;Ice;Computers;Syntactics","","3","","15","IEEE","1 Sep 2016","","","IEEE","IEEE Conferences"
"Computational thinking leads to computational learning: Flipped class room experiments in linear algebra","S. Se; Ashwini B; A. Chandran; Soman K.P","Centre for Excellence in Computational Engineering and Networking, Coimbatore; Centre for Excellence in Computational Engineering and Networking, Coimbatore; Centre for Excellence in Computational Engineering and Networking, Coimbatore; Centre for Excellence in Computational Engineering and Networking, Coimbatore","2015 International Conference on Innovations in Information, Embedded and Communication Systems (ICIIECS)","13 Aug 2015","2015","","","1","6","The latest concept evolving in pedagogy is flipped class room where class room is utilized for active learning by students with their peers and faculty. This necessitates development of new syllabus and pedagogy for each subject for class room activities. This paper attempt to propose spreadsheet based experiments in linear algebra that can be used to learn many abstract concepts that are very important for mastering many engineering disciplines. There is vast amount of evidence showing that the computational experiments support active learning and develop exploratory and inventive skill of students.","","978-1-4799-6818-3","10.1109/ICIIECS.2015.7193021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7193021","Flipped class room computational thinking;Linear algebra;Spread sheet","Eigenvalues and eigenfunctions;Matrix decomposition;Conferences;Technological innovation;Communication systems;Singular value decomposition","","10","","8","IEEE","13 Aug 2015","","","IEEE","IEEE Conferences"
"Can computational thinking predict academic performance?","R. J. Haddad; Y. Kalaani",Georgia Southern University; Georgia Southern University,2015 IEEE Integrated STEM Education Conference,"11 Jun 2015","2015","","","225","229","This paper introduces the notion of predicting academic performance based on Computational Thinking. The integral role that Computational Thinking modalities play in engineering disciplines can serve as an accurate indicator of the student future academic success. Therefore, this study investigated the students' performance in a Computational Thinking course offered at the freshman level to predict student academic success. To achieve this goal, a two-year study of the correlation between the students' accumulative grade point averages and their grades obtained in this course was conducted. The performance of nine hundred and eighty two students in forty sections was assessed over the two-year period. It was concluded that the students' future academic performance is strongly correlated to their Computational Thinking skills assessed at the freshman level. This clearly suggests the viability of using Computational Thinking skills as a fairly accurate predictor of students' academic success. These results have also implied that the assessment of Computational Thinking can be used as an early intervention tool to improve the students' retention, progression, and graduation rates in STEM related disciplines.","","978-1-4799-1829-4","10.1109/ISECon.2015.7119929","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7119929","Academic performance;Computational Thinking;Prediction of performance","Education;Computational modeling;Computers;Programming;Electrical engineering;Conferences;Correlation","","18","","17","IEEE","11 Jun 2015","","","IEEE","IEEE Conferences"
"Computational Thinking Curriculum for K-12 Education -- A Delphi Survey","H. -C. Chuang; C. -F. Hu; C. -C. Wu; Y. -T. Lin","Graduate Institute of Information and Computer Education, National Taiwan Normal University, Taipei, Taiwan; Graduate Institute of Information and Computer Education, National Taiwan Normal University, Taipei, Taiwan; Graduate Institute of Information and Computer Education, National Taiwan Normal University, Taipei, Taiwan; Graduate Institute of Information and Computer Education, National Taiwan Normal University, Taipei, Taiwan",2015 International Conference on Learning and Teaching in Computing and Engineering,"18 Jun 2015","2015","","","213","214","The purpose of this study is to design a computational thinking curriculum standard for K-12 education. The Delphi technique was employed to collect different views and derive consensus from a panel of thirteen experts, including computer scientists, computer science educators, K-12 computer teachers, and industry experts. The first draft of Delphi survey questionnaire, consisting of nine themes (problem solving, problem decomposition, algorithms, data representation, data analysis, modeling and simulation, abstraction, automation, and others) and 60 competence indicators, was developed based on our investigation of the nature of computational thinking. After three rounds of survey and a final round-table discussion, the expert panel derived 49 essential competence indicators (13 for grades K to 6, nine for grades 7 to 9 and 27 of grades 10 to 12) and eight optional competence indicators (one for grades 7 to 9 and seven for grades 10 to 12). According to the results, the core ability and training of computational thinking are different in grades. In grades K to 6, students develop logical thinking and problem solving skills in personal and family life. In grades 7 to 9, students must understand the basic concepts of programming and write basic programs. Finally, in grades 10 to 12, they will use high-level skills to apply the concepts of abstraction, modeling, and structured problem decomposition to solve problems in different fields. The results serve as useful references for developing Taiwan's new K-12 computing curriculum.","","978-1-4799-9967-5","10.1109/LaTiCE.2015.44","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7126261","Computing Curriculum;K-12 education;Computational Thinking;Delphi Survey","Computational modeling;Analytical models;Data models;Computers;Education;Computer science;Standards","","11","","4","IEEE","18 Jun 2015","","","IEEE","IEEE Conferences"
"Collaboration and Computational Thinking: A classroom structure","B. Worrell; C. Brand; A. Repenning","Carson Middle School Colorado, Springs, US; Science Discovery Program University of Colorado, Boulder, Boulder, USA; Department of Computer Science, University of Colorado, Boulder, Boulder, USA",2015 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),"17 Dec 2015","2015","","","183","187","Building a classroom environment based on student-led, meaningful collaboration is an ideal being promoted by educators and administrators seeking to equip students with 21st century workforce skills. More and more often, teachers are challenged to design lessons that utilize students' innate desire to communicate with one another rather than more traditional direct instruction. With a heavy focus on student-driven instruction and a reduced role for direct instruction, Carson Middle School's Game Design I course is able to utilize collaboration as a means for allowing students to not only learn but master and retain Computational Thinking Patterns and apply them in formal summative assessments. Through the collection of these data points throughout the course of a semester of learning, an educator can fully appreciate the learning of Computational Thinking skills that occurs as students build a sequence of games and simulations.","","978-1-4673-7457-6","10.1109/VLHCC.2015.7357215","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7357215","computational thinking;computational thinking patterns;assessment;collaborative programming;middle school computer education;game design","Programming","","8","","9","IEEE","17 Dec 2015","","","IEEE","IEEE Conferences"
"Enhancement the computational thinking skills via the simulation game","K. Daungcharone","College of Arts, Media and Technology Chiang Mai University, Chiang Mai, Thailand","2017 International Conference on Digital Arts, Media and Technology (ICDAMT)","24 Apr 2017","2017","","","195","199","The learning style in these day has been changed since the traditional style has been replaced by the modern style of learning processes using new technology such as social media, smart phone or edutainment. Nowadays, simulation game plays an important role in educational ground because its characteristic can enhances the learners' motivation. The paper aims to purpose the novel idea of how to identify appropriate factors which relate to the learner's motivation for supporting the computational thinking skills via simulation game. This is importance because games are considered as efficiency tools in which lecturers can employ to escalate the interest of lessons and to make the learning to be more effective.","","978-1-5090-5210-3","10.1109/ICDAMT.2017.7904960","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7904960","Simulation Game;Computational Thinking Skills;Learning Motivation","Games;Computational modeling;Programming profession;Computers;Object oriented modeling;Engineering profession","","4","","13","IEEE","24 Apr 2017","","","IEEE","IEEE Conferences"
"Improving learning of computational thinking using computational creativity exercises in a college CSI computer science course for engineers","D. F. Shell; M. P. Hazley; L. -K. Soh; L. Dee Miller; V. Chiriacescu; E. Ingraham","Department of Educational Psychology, University of Nebraska, Lincoln; Department of Educational Psychology, University of Nebraska, Lincoln; Department of Computer Science and Engineering, University of Nebraska, Lincoln; Department of Computer Science and Engineering, University of Nebraska, Lincoln; Department of Computer Science and Engineering, University of Nebraska, Lincoln; Department of Art and Art History, University of Nebraska, Lincoln",2014 IEEE Frontiers in Education Conference (FIE) Proceedings,"19 Feb 2015","2014","","","1","7","Promoting computational thinking is a priority in CS education and other STEM and non-STEM disciplines. Our innovative, NSF-funded IC2Think project blends computational and creative thinking. In Spring 2013, we deployed Computational Creativity Exercises (CCE) designed to engage creative competencies (Surrounding, Capturing, Challenging and Broadening) in an introductory CSI course for engineering students. We compared this CCE implementation semester (80 students, 95% completing 3 or 4 CCEs) to the Fall 2013 semester of the same course (55 students) without CCEs. CCE implementation students had significantly higher scores on a CS concepts and skills knowledge test (F(1, 132) = 7.72, p < 01, partial Eta2 = .055; M=7.47 to M=6.13; 13 items) and significantly higher self-efficacy for applying CS knowledge in their field (F(1, 153) = 12.22, p < .01, partial Eta2 = .074; M=70.64 to M=61.47; 100-point scale). CCE implementation students had significantly higher study time (t(1, 136) = 2.08, p = .04; M=3.88 to M=3.29; 7-point scale) and significantly lower lack of regulation, which measures difficulties with studying (t(1, 136) = 2.82, p = .006; M=2.80 to M=3.21; 5-point scale). The addition of computational creativity exercises to CS courses may improve computational thinking and learning of CS knowledge and skills.","2377-634X","978-1-4799-3922-0","10.1109/FIE.2014.7044489","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7044489","CSI;Creative Thinking;Computational Thinking;Engineering;Student Learning;Self-Regulation;Engagement;Self-Efficacy","Educational institutions;Instruments;Problem-solving;Programming;Reflection;Engineering profession","","15","","39","IEEE","19 Feb 2015","","","IEEE","IEEE Conferences"
