author,title,journal,volume,number,pages,year,publisher,doi
"Yonghe Zheng, Shuwen Yu, Mian Zhang, Jingying Wang, Xuanyang Yang, Sheng Zheng and Xiaomei Ping",Research on performance assessment of students’ inquiry skills in China’s elementary schools: a video analysis of Beijing discovering science around us,Research in Science \& Technological Education,42,3,720--746,2024,Routledge,10.1080/02635143.2022.2126973
"Aman Yadav, Sarah Gretter, Susanne Hambrusch and Phil Sands",Expanding computer science education in schools: understanding teacher experiences and challenges,Computer Science Education,26,4,235--254,2016,Routledge,10.1080/08993408.2016.1257418
"Zhen Xu, Albert D. Ritzhaupt, Fengchun Tian and Karthikeyan Umapathy",Block-based versus text-based programming environments on novice student learning outcomes: a meta-analysis study,Computer Science Education,29,2-3,177--204,2019,Routledge,10.1080/08993408.2019.1565233
"Elisabeth Omand Grønhøj, Billy Wong and Jeppe Bundsgaard",Exploring young people’s perceptions and discourses of technology occupations through descriptive drawings and a questionnaire,Computer Science Education,0,0,1--25,2024,Routledge,10.1080/08993408.2024.2385876
"Meena M. Balgopal, Anne Marie A. Casper, Rebecca A. Atadero and Karen E. Rambo-Hernandez","Responses to different types of inquiry prompts: college students’ discourse, performance, and perceptions of group work in an engineering class",International Journal of Science Education,39,12,1625--1647,2017,Routledge,10.1080/09500693.2017.1346847
"Douglas H. Clements, Megan Vinh, Chih-Ing Lim and Julie Sarama",STEM for Inclusive Excellence and Equity,Early Education and Development,32,1,148--171,2021,Routledge,10.1080/10409289.2020.1755776
"Weiqi Xu, Xinran Dong and Fan Ouyang","The Effects of Three Scaffoldings on Computer-Supported, Robot-Assisted Collaborative Programming in Higher Education",International Journal of Human–Computer Interaction,0,0,1--16,2024,Taylor \& Francis,10.1080/10447318.2024.2356399
Tonje Tomine Seland Strat and Kirsti Marie Jegstad,Norwegian Teacher Educators’ Reflections on Inquiry-Based Teaching and Learning in Science Teacher Education,Journal of Science Teacher Education,34,6,624--644,2023,Routledge,10.1080/1046560X.2022.2125623
Tuğra Karademir Coşkun,The effectiveness of robot training in special education: a robot training model proposal for special education,Interactive Learning Environments,30,6,1092--1116,2022,Routledge,10.1080/10494820.2019.1710542
"Shu-Hsuan Chang, Lee-Jen Yang, Ching-Huei Chen, Chun-Chao Shih, Yu Shu and Ying-Tsung Chen",STEM education in academic achievement: a meta-analysis of its moderating effects,Interactive Learning Environments,32,6,2401--2423,2024,Routledge,10.1080/10494820.2022.2147956
"Shuyun Han, Zhaoli Zhang, Hai Liu, Weiliang Kong, Zengcan Xue, Taihe Cao and Jiangbo Shu",From engagement to performance: the role of effort regulation in higher education online learning,Interactive Learning Environments,0,0,1--21,2023,Routledge,10.1080/10494820.2023.2273486
Roy L. Heidelberg and Anand Desai,Simulation Rules: The Role of Simulation in Policy Inquiry,Administrative Theory \& Praxis,37,1,1--17,2015,Routledge,10.1080/10841806.2015.997630
"Patricia Charlton, George Magoulas and Diana Laurillard",Enabling creative learning design through semantic technologies,"Technology, Pedagogy and Education",21,2,231--253,2012,Routledge,10.1080/1475939X.2012.698165
Susanna Pöntinen and Sinikka Räty-Záborszky,Student-initiated aspects as starting points for teaching digital competence in the early years of primary education,Pedagogies: An International Journal,17,3,227--250,2022,Routledge,10.1080/1554480X.2020.1870469
Courtney M. Thompson and Forrest J. Bowlick,Teaching and Learning GIS in the Time of COVID-19: Lessons from GIS Professors from an Autoethnographic Perspective*,The Geography Teacher,19,3,108--117,2022,Routledge,10.1080/19338341.2022.2072360
Adegboyega Ojo and Bahareh Heravi,Patterns in Award Winning Data Storytelling,Digital Journalism,6,6,693--718,2018,Routledge,10.1080/21670811.2017.1403291
"Shangyuan Wu, Edson C. Tandoc and Charles T. Salmon",A Field Analysis of Journalism in the Automation Age: Understanding Journalistic Transformations and Struggles Through Structure and Agency,Digital Journalism,7,4,428--446,2019,Routledge,10.1080/21670811.2019.1620112
Igor Calzada,‘Algorithmic nations’: seeing like a city-regional and techno-political conceptual assemblage,"Regional Studies, Regional Science",5,1,267--289,2018,RSA Website,10.1080/21681376.2018.1507754
Deborah Nolan and Duncan Temple Lang,Computing in the Statistics Curricula,The American Statistician,64,2,97--107,2010,ASA Website,10.1198/tast.2010.09132
Julie Lee Lambert and Robert E. Bleicher,Improving Climate Change Communication Starting with Environmental Educators,Journal of Geoscience Education,62,3,388--401,2014,Routledge,10.5408/13-062.1
Yael Wyner,The Impact of a Novel Curriculum on Secondary Biology Teachers’ Dispositions Toward Using Authentic Data and Media in Their Human Impact and Ecology Lessons,Journal of Science Teacher Education,24,5,833--857,2013,Routledge,10.1007/s10972-013-9335-2
Wenwu Tang and Meijuan Jia,Global Sensitivity Analysis of a Large Agent-Based Model of Spatial Opinion Exchange: A Heterogeneous Multi-GPU Acceleration Approach,Annals of the Association of American Geographers,104,3,485--509,2014,Routledge,10.1080/00045608.2014.892342
"Kate Greer, Heather King and Melissa Glackin",The ‘web of conditions’ governing England’s climate change education policy landscape,Journal of Education Policy,38,1,69--92,2023,Routledge,10.1080/02680939.2021.1967454
"Robbert Smit, Clemens Waibel and Rahel Schmid",Assisting in a computer science education centre as a field-based internship for pre-service teachers,Computer Science Education,0,0,1--25,2024,Routledge,10.1080/08993408.2023.2300554
"Hui Jin, Xin Wei, Peiran Duan, Yuying Guo and Wenxia Wang",Promoting cognitive and social aspects of inquiry through classroom discourse,International Journal of Science Education,38,2,319--343,2016,Routledge,10.1080/09500693.2016.1154998
Ron Gray and Allyson Rogan-Klyve,Talking modelling: examining secondary science teachers’ modelling-related talk during a model-based inquiry unit,International Journal of Science Education,40,11,1345--1366,2018,Routledge,10.1080/09500693.2018.1479547
Jyoti Sharma and Prasad KDV Yarlagadda,Perspectives of ‘STEM education and policies’ for the development of a skilled workforce in Australia and India,International Journal of Science Education,40,16,1999--2022,2018,Routledge,10.1080/09500693.2018.1517239
"Jesse Wilcox, Sarah Voss, Jerrid Kruse, Shelby Miller and Lily Fettkether",Research Experiences for Undergraduates Through Extracurricular Practitioner Inquiry: Exploring the Experiences of Preservice Elementary Teachers,Journal of Science Teacher Education,0,0,1--21,2024,Routledge,10.1080/1046560X.2024.2336769
Heidi L. Hallman,Personalized learning through 1:1 technology initiatives: implications for teachers and teaching in neoliberal times,Teaching Education,30,3,299--318,2019,Routledge,10.1080/10476210.2018.1466874
Tove Anita Fiskum and Karl Jacobsen,Outdoor education gives fewer demands for action regulation and an increased variability of affordances,Journal of Adventure Education and Outdoor Learning,13,1,76--99,2013,Routledge,10.1080/14729679.2012.702532
Siska Nopa Br Tambunan and Kai-Lin Yang,Indonesian mathematics teachers’ conceptions on values of the relationship between mathematics and STEM education,Cogent Education,9,1,2107303,2022,Cogent OA,10.1080/2331186X.2022.2107303
Sevde Koca and Recep Çakir,Effect of educational robotic applications on students’ cognitive outcomes,Behaviour \& Information Technology,41,15,3329--3345,2022,Taylor \& Francis,10.1080/0144929X.2021.1984580
"Maria Rut Jimenez-Liso, María Martinez-Chico, Lucy Avraamidou and Rafael López-Gay Lucio-Villegas","Scientific practices in teacher education: the interplay of sense, sensors, and emotions",Research in Science \& Technological Education,39,1,44--67,2021,Routledge,10.1080/02635143.2019.1647158
"Sally McHugh, Noel Carroll and Cornelia Connolly",Low-Code and No-Code in Secondary Education—Empowering Teachers to Embed Citizen Development in Schools,Computers in the Schools,0,0,1--26,2023,Routledge,10.1080/07380569.2023.2256729
"Shannon Campe, Jill Denner, Emily Green and David Torres",Pair programming in middle school: variations in interactions and behaviors,Computer Science Education,30,1,22--46,2020,Routledge,10.1080/08993408.2019.1648119
"Junqing Zhai, Jennifer Ann Jocz and Aik-Ling Tan",‘Am I Like a Scientist?’: Primary children's images of doing science in school,International Journal of Science Education,36,4,553--576,2014,Routledge,10.1080/09500693.2013.791958
Jennifer L. Weible and Heather Toomey Zimmerman,"Science curiosity in learning environments: developing an attitudinal scale for research in schools, homes, museums, and the community",International Journal of Science Education,38,8,1235--1255,2016,Routledge,10.1080/09500693.2016.1186853
Victoria Wong and Justin Dillon,"‘Voodoo maths’, asymmetric dependency and maths blame: why collaboration between school science and mathematics teachers is so rare",International Journal of Science Education,41,6,782--802,2019,Routledge,10.1080/09500693.2019.1579945
"Dominik Šmida, Elena Čipková and Michael Fuchs",Developing the test of inquiry skills: measuring the level of inquiry skills among pupils in Slovakia,International Journal of Science Education,46,1,73--108,2024,Routledge,10.1080/09500693.2023.2219811
Risa Haridza and Lin Ding,Enhancing students’ reasoning skills by asking students to provide evidence-based explanations in science classrooms: findings from TIMSS 2019,International Journal of Science Education,0,0,1--26,2024,Routledge,10.1080/09500693.2024.2385067
"Luisa McHugh, Angela M. Kelly and M. David Burghardt",Professional Development for a Middle School Mathematics-Infused Science Curriculum,Journal of Science Teacher Education,29,8,804--828,2018,Routledge,10.1080/1046560X.2018.1514825
Jeffrey D. Thomas and Sally Valentino Drew,Impact of A Practice-Based Professional Development on Secondary Science Teachers’ Use of Disciplinary Literacy Practices: A Design Research Project,Journal of Science Teacher Education,33,1,1--31,2022,Routledge,10.1080/1046560X.2021.1898763
Cheryl L. B. Manning and N. D. LaDue,Geo-STEM learning ecosystems: A transdisciplinary theory-based framework to establish and engage communities in the geosciences,Journal of Geoscience Education,0,0,1--15,2024,Routledge,10.1080/10899995.2024.2351028
Bernhard Rieder,Scrutinizing an algorithmic technique: the Bayes classifier as interested reading of reality,"Information, Communication \& Society",20,1,100--117,2017,Routledge,10.1080/1369118X.2016.1181195
Paschalia (Lia) Spyridou and Christos Danezis,Do Algorithms Do It Better? Analysing Occupational Ideology in the Age of Computational Journalism,Journalism Studies,0,0,1--25,2024,Routledge,10.1080/1461670X.2024.2372429
"Danielle Herro, Ryan Visser and Meihua Qian",Teacher educators’ perspectives and practices towards the Technology Education Technology Competencies (TETCs),"Technology, Pedagogy and Education",30,5,623--641,2021,Routledge,10.1080/1475939X.2021.1970620
Emma Cocker,Weaving Codes/Coding Weaves: Penelopean Mêtis and the Weaver-Coder’s Kairos,TEXTILE,15,2,124--141,2017,Routledge,10.1080/14759756.2017.1298233
Indrit Vucaj,Development and initial validation of Digital Age Teaching Scale (DATS) to assess application of ISTE Standards for Educators in K–12 education classrooms,Journal of Research on Technology in Education,54,2,226--248,2022,Routledge,10.1080/15391523.2020.1840461
Rebecca Reynolds and Ming Ming Chiu,Formal and informal context factors as contributors to student engagement in a guided discovery-based program of game design learning,"Learning, Media and Technology",38,4,429--462,2013,Routledge,10.1080/17439884.2013.779585
"Andrew Lambirth, Ana Cabral, Roger McDonald, Chris Philpott, Ashley Brett and Adewale Magaji","Teacher-led professional development through a model of action research, collaboration and facilitation",Professional Development in Education,47,5,815--833,2021,Routledge,10.1080/19415257.2019.1685565
"J. Hardin, R. Hoerl, Nicholas J. Horton, D. Nolan, B. Baumer, O. Hall-Holt, P. Murrell, R. Peng, P. Roback, D. Temple Lang and M. D. Ward",Data Science in Statistics Curricula: Preparing Students to “Think with Data”,The American Statistician,69,4,343--353,2015,ASA Website,10.1080/00031305.2015.1077729
Asli Cekmis,Modelling the perception of visual design principles on façades through fuzzy sets: towards building an automated architectural data generation and labelling tool,Architectural Science Review,67,4,291--308,2024,Taylor \& Francis,10.1080/00038628.2023.2269549
"Richard Lamb, Jonah Firestone, Maureen Schmitter-Edgecombe and Brian Hand",A computational model of student cognitive processes while solving a critical thinking problem in science,The Journal of Educational Research,112,2,243--254,2019,Routledge,10.1080/00220671.2018.1514357
