"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Investigation of Undergraduates’ Computational Thinking in a Sophomore-Level Biomedical Engineering Course","H. Shoaib; M. Cardella; A. Madamanchi; D. Umulis","Department of Engineering Education, Purdue University, West Lafayette, USA; Department of Engineering Education, Purdue University, West Lafayette, USA; Department of Agricultural & Biological Engineering, Purdue University, West Lafayette, USA; Department of Agricultural & Biological Engineering, Purdue University, West Lafayette, USA",2019 IEEE Frontiers in Education Conference (FIE),"12 Mar 2020","2019","","","1","4","This research study presents our work focused on studying the development of introductory computational thinking in undergraduate biomedical engineering students. In response to the growing computational intensity of the healthcare industry, biomedical engineering (BME) undergraduate education is starting to emphasize computation and computational thinking. Computational thinking is a way of thinking that uses concepts and methodologies of computing to solve problems in interdisciplinary and multidisciplinary subjects. In broader terms, computational thinking is not only associated with using computational tools but also with the thought process of solving a problem by data representation, problem decomposition, and algorithm design. Despite being so important, there is little research work or information available on the development of computational thinking in BME undergraduate students. Our research focuses on how BME undergraduate students develop computational thinking skills while performing group activities related to problem-solving. In order to conduct this study, we incorporate a teaching methodology that prompts computational thinking in a thermodynamics course being taught at a public mid-western university to approximately 120 sophomore students. We observe classroom activities involving analytical problem solving followed by pseudo code generation for computational coding. In order to investigate computational thinking, we collect classroom observations of small groups of students as they come up with a solution to an analytical problem with each other. We complement the observation notes of the classroom activities with follow up semi structured interviews with individual students from five groups. Thematic analysis of the student interviews is used in order to analyze student responses towards the incorporation of computation intensive teaching methodology. This Work in Progress helps us expand our understanding of computational thinking development and the challenges involved in performing computational thinking activity in BME undergraduate students.","2377-634X","978-1-7281-1746-1","10.1109/FIE43999.2019.9028503","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9028503","thermodynamics;computational thinking","Mathematical model;Thermodynamics;Interviews;Problem-solving;Computational modeling;Analytical models;Testing","","2","","11","IEEE","12 Mar 2020","","","IEEE","IEEE Conferences"
"Pair-Programming Curriculum Development of Motion-Based Game for Enhancing Computational Thinking Skills","C. -K. Chang; Y. -T. Tsai","Department of Information and Learning Technology, National University of Tainan, Tainan, Taiwan; Department of Information and Learning Technology, National University of Tainan, Tainan, Taiwan",2018 7th International Congress on Advanced Applied Informatics (IIAI-AAI),"18 Apr 2019","2018","","","284","287","Some curriculum of making computer games were developed to engage students in digital game-making activities so as to enhance their computational thinking skills during the last few years. The findings of those studies are quite positive, especially concerning the promotion of computational thinking skills. However, many students seem to face difficulties in the processes of the game development, such as debugging, applying mathematics, or physics subjects. Additionally, students often have solved the problems and understood concepts, mainly math formulas and physics concepts, alone while creating their games. This study presents an innovative curriculum design that suggests two students playing different role to make motion-based touchless games (i.e., games that are based on natural user interaction technologies, like the Microsoft Kinect camera or Leap Motion). Based on the requirements of the innovative curriculum and interaction technologies, students can naturally fulfill the ideal of pair programming and get various benefits from each other.","","978-1-5386-7447-5","10.1109/IIAI-AAI.2018.00061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8693273","computational thinking;learning by making games;natural user interaction;Kinect;pair programming","Games;Programming;Tools;Face;Cameras;Collaboration;Task analysis","","5","","16","IEEE","18 Apr 2019","","","IEEE","IEEE Conferences"
"An Ontology based approach to teach Computational Thinking","C. Araújo; L. V. O. Lima; P. R. Henriques","Centro Algoritmi / Dep. de Informática, Universidade do Minho, Braga, Portugal; Centro Algoritmi / Dep. de Informática, Universidade do Minho, Braga, Portugal; Centro Algoritmi / Dep. de Informática, Universidade do Minho, Braga, Portugal",2019 International Symposium on Computers in Education (SIIE),"28 Jan 2020","2019","","","1","6","This paper is focused on the teaching/learning process of Computational Thinking at primary and secondary schools. It is generally accepted that Programming is a complex task that requires a long learning process. Theoretical knowledge about fundamentals on algorithms and data structures, as well as, on programming languages are required but are not enough; practicing a lot is also necessary. However, teaching Computer Programming is a hard job, most of the times unsuccessful. To overcome all the difficulties, felt by teachers and students, an increasingly bigger community of researchers in Computer Science is defending the importance of teaching Computational Thinking to young students to train them, since very earlier, in logic and abstract reasoning for problem solving. Our starting point to approach this topic relies on the use of an Ontology (OntoCnE) that describes in detail the concepts “Computational Thinking” and “Programming”, and maps those concepts to different education levels, starting with the first year. We believe that a person just acquires a new way of thinking, or a new way of behaving, if he is trained with the appropriate learning resources. So a main investment to educate people in Computational Thinking is on the choice/creation of those convenient resources. In particular we intended to investigate the impact of Augmented Reality in the usefulness of the referred resources. In that direction we will also discuss the development of a Web Platform to help on collecting and classifying (according to the referred ontology) learning resources to be used by teachers in computing classes. On the other hand, the platform will help on the retrieval, from that repository, of the most adequate resources to teach a specific subject to a specific level.","","978-1-7281-3182-5","10.1109/SIIE48397.2019.8970131","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8970131","computational thinking;programming;learning resource;teacher support tools;ontology","","","6","","15","IEEE","28 Jan 2020","","","IEEE","IEEE Conferences"
"The Research of Programming Teaching in Primary School on the Cultivation of Computational Thinking","Y. Wang; Y. Zhang; A. Mao; J. Wang; N. Li","School of Educational Information Technology, Central China Normal University, Wuhan, China; School of Educational Information Technology, Central China Normal University, Wuhan, China; Primary School Affiliated to University of Science and Technology, Wuhan, China; Teacher Education College, Huzhou University, Huzhou, China; School of Educational Information Technology, Central China Normal University, Wuhan, China",2020 Ninth International Conference of Educational Innovation through Technology (EITT),"19 Jan 2021","2020","","","250","255","With the development of digital technologies, teaching computational thinking and relative skills in the K-12 curriculum can benefit students in thinking and create in the digital area. This study designed a programming course to help students develop computational thinking and relative skills, and conducted a practice in a primary school. Results indicated that students were benefited from three stages of the teaching process. Students' computational thinking knowledge, programming knowledge and skills, and problem-solving were developed after the learning of a semester. The programming works of the students also revealed that there was a tendency in the development of creativity.","2166-0549","978-1-7281-9171-3","10.1109/EITT50754.2020.00051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9320732","computational thinking;programming course design;K-12 curriculum","Programming profession;Problem-solving;Testing;Media;Debugging;Visualization;Task analysis","","1","","11","IEEE","19 Jan 2021","","","IEEE","IEEE Conferences"
"Computational Thinking Education for Children: Algorithmic Thinking and Debugging","G. K. W. Wong; S. Jiang","University of Hong Kong, Hong Kong, HK; University of Hong Kong, Hong Kong, HK","2018 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)","17 Jan 2019","2018","","","328","334","The benefits of developing children's computational thinking have been widely discussed with various approaches and learning tools. This paper reports the piloting of second-year longitudinal study, aiming to examine the effect of computational thinking education on the 5th grade students (n = 85) as they develop their algorithmic thinking and debugging skills. The results show that students benefited from our designed curriculum with learning gains in algorithmic thinking, especially in analyzing and finding the essential instructions to solve computational problems. Students also achieved significant gains in debugging programs. The study demonstrated that with age-appropriate learning materials and learning approach, even young children can develop computational thinking skills important to thriving in 21st century. This pilot study sets the direction of analyzing the rest of the 5th grade students' performance as well as the next year study.","2470-6698","978-1-5386-6522-0","10.1109/TALE.2018.8615232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8615232","computational thinking;algorithmic thinking;debug;primary school;coding education","Education;Games;Debugging;Programming profession;Problem-solving","","23","","24","IEEE","17 Jan 2019","","","IEEE","IEEE Conferences"
"Teaching Research on Computer Programming based on Cultivation of Computational Thinking","H. Ding","School of Information Science and Engineering, Yunnan University, Kunming, China",2019 IEEE International Conference on Computer Science and Educational Informatization (CSEI),"23 Dec 2019","2019","","","72","75","Computer programming is one of compulsory courses for science and engineering majors in colleges and universities, and C language is one of the most common programming language. In view of teaching problems of traditional programming course, for example, the concepts are abstract and difficult to understand for students, and students are lack of logical thinking of programming, this paper introduced the concept of computational thinking, analyzed how to integrate computational thinking into teaching contents of computer programming course, and flipped classroom teaching method was discussed too. The teaching practice showed that good teaching effects were achieved.","","978-1-7281-2308-0","10.1109/CSEI47661.2019.8938909","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8938909","computer programming;pedagogy;computational thinking;flipped classroom","Programming profession;Online services;Training;Problem-solving","","2","","9","IEEE","23 Dec 2019","","","IEEE","IEEE Conferences"
"Design and Evaluation of a Deep Learning Recommendation Based Augmented Reality System for Teaching Programming and Computational Thinking","P. -H. Lin; S. -Y. Chen","Department of Engineering Science, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Taitung University, Taitung, Taiwan",IEEE Access,"12 Mar 2020","2020","8","","45689","45699","Programming is considered a skill to arouse and inspire learner's potential. Learning to program is a complex process that requires students to write grammar and instructions. The structure of a programming language does not cause impose problems to students, the real obstacle is how to apply these learned grammars and present them in a complete and correct program code for problem solving. In this study, a deep learning recommendation system was developed, which includes augmented reality (AR) technology, and learning theory, and is provided for study by students in non-major and also from different learning backgrounds. Those students divided into two groups, the students participating in the experimental group were using the AR system with deep learning recommendation and the students participating in the control group were using the AR system without deep learning recommendation. The results show that students in experimental group perform better than the control group with regards to learning achievement. On the other hand, in the part of computational thinking ability, students using a deep learning recommendation based AR system is significantly better than those using non-deep learning recommendation based AR system. Among the various dimensions of computational thinking, creativity, logical computing, critical thinking, and problem-solving skills are significantly different among the two groups of students. The students in experimental group perform better than the control group with regards to the dimensions of computational thinking, creativity, logical computing, critical thinking, and problem-solving skills.","2169-3536","","10.1109/ACCESS.2020.2977679","Ministry of Science and Technology, Taiwan(grant numbers:MOST 108-2511-H-143-002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9020189","Deep learning recommendation;computational thinking;AR technology","Machine learning;Education;Programming profession;Problem-solving;Grammar;Augmented reality","","72","","59","CCBY","2 Mar 2020","","","IEEE","IEEE Journals"
"Practical Exploration of Integrating Computational Thinking into University Computer Foundation Education","Z. He; H. Zhao","College of Information Science and Technology, Jinan University, Guangzhou, China; School of Foreign Language and International Business, Guangdong Mechanical and Electrical Polytechnic, Guangzhou, China","2019 IEEE International Conference on Engineering, Technology and Education (TALE)","15 Oct 2020","2019","","","1","6","Computational thinking is an important concept that is widely concerned by international computer community, and it is considered as an important way to carry out university computer education reform. This paper firstly analyzes the existing problems in university computer teaching for non-computer majors, and then it discusses a series of teaching practices that integrate computational thinking into university computer teaching, including: (1) Students are divided into different classes according to their computer proficiency; (2) We abandon the concept of “Narrow Instrumentalism”, and teach the most essential knowledge of computer foundation; (3) We propose the “data” as the mainline, and then reconstruct teaching content according to the mainline; (4) We also reconstruct experimental content with the mainline, and separate experimental teaching into a single course. The practices has proved that the teaching methods put forward in this paper yield good results, and it provides a new model for University Computer Foundation teaching, which aims at improving students’ computational thinking.","2470-6698","978-1-7281-2665-4","10.1109/TALE48000.2019.9225879","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9225879","computational thinking;university computer foundation;teaching reform;non-computer major","Education;Software;Instruments;Databases;Programming profession","","","","8","IEEE","15 Oct 2020","","","IEEE","IEEE Conferences"
"COMPUTATIONAL THINKING","P. J. Denning; M. Tedre",NA; NA,Computational Thinking,"","2019","","","1","6","","","9780262353410","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=8709361.pdf&bkn=8709327&pdfType=chapter","","","","","","","","9 May 2019","","","MIT Press","MIT Press eBook Chapters"
"STEM Education Activities Development to Promote Computational Thinking’s Students","P. Srisangngam; C. Dechsura","Faculty of Science and Technology, Phranakhon Si Ayutthaya Rajabhat University, Ayutthaya, Thailand; Faculty of Education, Phranakhon Si Ayutthaya Rajabhat University, Ayutthaya, Thailand",2020 5th International STEM Education Conference (iSTEM-Ed),"1 Feb 2021","2020","","","103","105","This research aims to develop STEM learning activities for promote student's computational thinking skills and the results of this learning activities toward computational thinking of senior school student in the computing classroom. The study groups were 30 secondary school students in Pranakorn Si Ayutthaya who were studying in Semester 1, Academic Year 2019. They were selected by purposive sampling method. The research instruments were; (1) STEM education lesson plans for computational thinking developments; (2) The student's journals; and (3) Computational thinking test. The research was divided into three phases. The first phase focused on design lesson plans and learning activities for developing student's computational thinking skills. The second phase is implement the lesson plans and learning activities with the study group. The third phase is evaluation of the effectiveness of learning activities on develop student's computational thinking skills. The results shown learning activities can develop student's computational thinking skills, because of these activities were challenged students with real everyday life problems that required to used their computational thinking to solve the problems by decompose problems, find pattern recognition, abstraction thinking and develop algorithm for computer programming. So, these STEM learning activities could be effectively used in Computing course.","","978-1-7281-9570-4","10.1109/iSTEM-Ed50324.2020.9332734","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9332734","Computational thinking;STEM Education.","Instruments;Education;Sampling methods;Silicon;Pattern recognition;Programming profession;STEM","","5","","8","IEEE","1 Feb 2021","","","IEEE","IEEE Conferences"
"Application of Concept Map in the Study of Computational Thinking Training","L. Xu; M. -W. Tong; B. Li; J. Meng; C. -Y. Fan","Central China normal University, Wuhan, China; Central China normal University, Wuhan, China; Central China normal University, Wuhan, China; Central China normal University, Wuhan, China; Central China normal University, Wuhan, China",2019 14th International Conference on Computer Science & Education (ICCSE),"23 Sep 2019","2019","","","454","459","The call for innovative talents in the information age is imminent. With the promulgation of the domestic high school information technology curriculum standards in 2017, the formulation and positioning requirements of the core literacy of the disciplines, computational thinking as one of the four core literacy, is the thinking ability that everyone should have. Many foreign educational practice studies have shown that mind mapping can effectively promote students' cognitive development and knowledge construction. However, the domestic educational application research is relatively lacking in this aspect, and there is little research on the comprehensive and in-depth combination of it and the core literacy “computational thinking” of the specific information technology discipline. To this end, based on the research status at home and abroad, this paper attempts to use the concept map tool to represent several important functions of computational thinking, ""definition of problems"", ""abstract function"", ""build model"" and ""Debugging and improvement"". The diagram incorporates the teaching model in the computational thinking development curriculum. This study used quasi-experimental research methods to explore the effect of conceptual map tools on students' computational thinking. The research results show that this teaching method has a significant effect on the development of students' computational thinking.","2473-9464","978-1-7281-1846-8","10.1109/ICCSE.2019.8845505","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8845505","computational thinking;concept map;project-based learning","Education;Tools;Programming;Visualization;Computational modeling;Creativity;Standards","","2","","22","IEEE","23 Sep 2019","","","IEEE","IEEE Conferences"
