author,title,journal,volume,number,pages,year,doi,URL,abstract
Martí Casals and José Fernández and Victor Martínez and Michael Lopez and Klaus Langohr and Jordi Cortés,A systematic review of sport-related packages within the R CRAN repository,International Journal of Sports Science & Coaching,18,2,621–629,2023k,10.1177/17479541221136238,,"The sports statistics community is rapidly evolving. R is an open-source software in constant development that has gained a lot of popularity within statistical communities and sports analytics. This work presents a systematic review of the available R CRAN sport packages following PRISMA guidelines. We consider all packages active as of 18 February 2021. A total of 81 sport R packages created since 2006 were detected. Of these, 35.9% were authored by an American national, 69.1% include a dataset, 43.2% provide vignettes, and 65.4% have been updated at least once. The sport with the highest representation is basketball (n = 14, 17.3%), followed by soccer (n = 12, 14.8%) and packages related to physical activity (n = 11, 13.6%). There are no sports packages directed solely for the female gender, while 59.3% of packages are focused on professional athletes. Fifty packages (61.7%) are related to the sports performance analysis category, and web scraping (n = 43, 53.1%) was the main functionality in the collected packages. The creation of new R packages in the area of sports could help solve questions and tasks that still remain a challenge in this field, while continuing to help to improve the level of statistical education and computational thinking skills."
Sylvia Celedón-Pattichis and Carlos A. LópezLeiva and Marios S. Pattichis and Marta Civil,Teaching and Learning Mathematics and Computing in Multilingual Contexts,Teachers College Record,124,5,3–12,2022l,10.1177/01614681221103929,,
Ramón Chacón-Cuberos and Jorge Expósito-López and José Javier Romero-Díaz de la Guardia and Eva María Olmedo-Moreno,Skills for Future Work (H2030): Multigroup Analysis in Professional and Baccalaureate Training,Research on Social Work Practice,31,7,758–769,2021m,10.1177/10497315211002646,,"Purpose: This study sought to validate the Skills for Future Work Scale for its use with professional/vocational training (PT) and baccalaureate students. Methods: A total of 1,159 students were recruited. Structural equation analysis was performed using IBM Amos Graphics®. Results: Excellent fit indices were obtained, forming a final scale composed of nine indicators and two factors. The first dimension was associated with cognitive skills and adaptability, grouping together the skills of finding meaning, adaptable thinking, and understanding management. The second dimension comprises collaborative skills, as social intelligence and virtual collaboration. Discussion: Collaboration skills were more developed within those undertaking PT, while baccalaureate students had more strongly developed mastery over new media. This scale allows to know effectively the development of the work skills set by the European Union in the 2030 horizon. These findings contribute interesting data regarding the development of training strategies to support insertion into the job market."
Chih-Kai Chang,Effects of Using Alice and Scratch in an Introductory Programming Course for Corrective Instruction,Journal of Educational Computing Research,51,2,185–204,2014n,10.2190/EC.51.2.c,,"Scratch, a visual programming language, was used in many studies in computer science education. Most of them reported positive results by integrating Scratch into K-12 computer courses. However, the object-oriented concept, one of the important computational thinking skills, is not represented well in Scratch. Alice, another visual programming language, seems to have better illustration of the object-oriented concept for programming novices. To demonstrate effects of Alice and Scratch, we compared students’ responses to both visual programming languages, especially for students with low performances, in an introductory programming course. The relationships among learning engagement, learning anxiety, and learning playfulness were explored. The results could be referred to by computer science instructors to select proper visual programming language for corrective instruction."
Yu-Chi Chen and Chi-Yu Chao and Huei-Tse Hou,Learning Pattern Recognition Skills From Games: Design of an Online Pattern Recognition Educational Mobile Game Integrating Algebraic Reasoning Scaffolding,Journal of Educational Computing Research,61,6,1232–1251,2023o,10.1177/07356331231171622,,"Pattern recognition is an important skill in computational thinking. In this study, an equation puzzle game was developed by combining pattern recognition with algebraic reasoning, and scaffolding was designed to support learners’ learning. Sixty participants were enrolled in this study, divided into a control group and an experimental group to compare the results and differences in game achievement, flow, anxiety, and motivation of participants with and without algebraic reasoning scaffolding. The results of the study showed that the participants in both groups had positive flow and motivation during the game, did not feel over-anxious, and there was no significant difference in the game achievement of the two groups. In addition, the game with the scaffolding may have the potential to make a positive correlation between game achievement and psychological status. The results of this study indicated that the game did not cause too much anxiety to the participants. The scaffolding-based design achieves the intended effect on the participants’ assistance and facilitates the participants’ engagement in pattern recognition problem solving. And as learners became more focused and engaged, they could also perform better in the game. This game mechanism can be used as a reference for designing pattern recognition games."
Te-Lien Chou and Kai-Yu Tang and Chin-Chung Tsai,A Phenomenographic Analysis of College Students’ Conceptions of and Approaches to Programming Learning: Insights From a Comparison of Computer Science and Non-Computer Science Contexts,Journal of Educational Computing Research,59,7,1370–1400,2021p,10.1177/0735633121995950,,"Programming learning has become an essential literacy for computer science (CS) and non-CS students in the digital age. Researchers have addressed that students’ conceptions of learning influence their approaches to learning, and thus impact their learning outcomes. Therefore, we aimed to uncover students’ conceptions of programming learning (CoPL) and approaches to programming learning (APL), and analyzed the differences between CS and non-CS students. Phenomenographic analysis was adopted to analyze 31 college students (20 CS-related, and 11 not) from northern Taiwan. Results revealed six categories of CoPL hierarchically: 1. memorizing concepts, logic, and syntax, 2. computing and practicing programming writing, 3. expressing programmers’ ideas and relieving pressure, 4. applying and understanding, 5. increasing one’s knowledge and improving one’s competence, and 6. seeing in a new way. Four categories of APL were also found, namely: 1. copying from the textbook, teachers, or others, 2. rote memory, 3. multiple exploration attempts, and 4. online or offline community interactions. Furthermore, we found that most CS students held higher level CoPL (e.g., seeing in a new way) than non-CS students. However, compared with non-CS students, CS students adopted more surface approaches to learning programming, such as copying and rote memory. Implications are discussed."
Merijke Coenraad and Anthony Pellicone and Diane Jass Ketelhut and Michel Cukier and Jan Plane and David Weintrop,Experiencing Cybersecurity One Game at a Time: A Systematic Review of Cybersecurity Digital Games,Simulation & Gaming,51,5,586–611,2020q,10.1177/1046878120933312,,"Background. Cybersecurity is of increasing importance in our interconnected world, yet the field has a growing workforce deficit and an underrepresentation of women and people of color. In an effort to address these issues, many digital games have been created to teach individuals about cybersecurity and keeping themselves, their data, and their networks safe. Intervention. We present the results of a systematic review of digital games related to cybersecurity as a means to understand how players are being introduced to cybersecurity in game-based contexts. Methods. Using a systematic search, we identified 181 games related to cybersecurity (either through content or aesthetics) by searching the Apple App Store, the Google Play Store, Steam, and the web broadly. Each game was played for up to an hour and characteristics such as the game story, game elements, and presentation of cybersecurity were gathered. Results. We found diverse conceptualizations of cybersecurity and of cybersecurity professionals. Further, the nature of games and the framing of cybersecurity varied by the platform and device on which the game was available (computer, mobile, or web). Web games were most likely to present cybersecurity as cyber safety and were more likely to be a gamified quiz or worksheet. Computer and mobile games tended to present cybersecurity through game aesthetics or deep content engagement. The games mirrored the underrepresentation of women and minoritized individuals in the field. Discussion. With the variety of digital cybersecurity games and the differences in games based on the platform on which the game is available, it is important game developers move beyond presenting cybersecurity through gamification and focusing on cyber safety. The current scope of cybersecurity games leaves room for the development of games focused on deeper content engagement with cybersecurity topics in an environment conducive to the broadening participation goals of the cybersecurity field."
Diego F Cuadros and Claudia M Moreno and Andrew Tomita and Urisha Singh and Stephen Olivier and Alison Castle and Yumna Moosa and Johnathan A Edwards and Hae-Young Kim and Mark J Siedner et al.,Geospatial assessment of the convergence of communicable and non-communicable diseases in South Africa,Journal of Multimorbidity and Comorbidity,13, ,26335565231204120,2023r,10.1177/26335565231204119,,"Introduction Several low-and middle-income countries are undergoing rapid epidemiological transition with a rising burden of non-communicable diseases (NCDs). South Africa (SA) is a country with one of the largest HIV epidemics worldwide and a growing burden of NCDs where the collision of these epidemics poses a major public health challenge. Methods Using data from a large nationally representative survey, the South Africa Demographic and Health Survey (SADHS 2016), we conducted a geospatial analysis of several diseases including HIV, tuberculosis (TB), cardiovascular, respiratory, and metabolic diseases to identify areas with a high burden of co-morbidity within the country. We explored the spatial structure of each disease and associations between diseases using different spatial and visual data methodologies. We also assessed the individual level co-occurrence of HIV and the other diseases included in the analysis. Results The spatial distribution for HIV prevalence showed that this epidemic is most intense in the eastern region of the country, mostly within the Gauteng, Mpumalanga, and Kwazulu-Natal provinces. In contrast, chronic diseases had their highest prevalence rates the southern region of the country, particularly in the Eastern and Western Cape provinces. Individual-level analyses were consistent with the spatial correlations and found no statistically significant associations between HIV infection and the presence of any NCDs. Conclusions We found no evidence of geospatial overlap between the HIV epidemic and NCDs in SA. These results evidence the complex epidemiological landscape of the country, characterized by geographically distinct areas exhibiting different health burdens. The detailed description of the heterogenous prevalence of HIV and NCDs in SA reported in this study could be a useful tool to inform and direct policies to enhance targeted health service delivery according to the local health needs of each community."
Ömer Demir and Süleyman Sadi Seferoglu,"A Comparison of Solo and Pair Programming in Terms of Flow Experience, Coding Quality, and Coding Achievement",Journal of Educational Computing Research,58,8,1448–1466,2021s,10.1177/0735633120949788,,"Cooperative learning manifests itself as pair programming in coding education. There is a limited number of studies experimentally demonstrating that pair programming is effective in the educational context. Therefore, in this study, solo and pair programming were compared in terms of flow experience, coding quality, and coding achievement. The method used in this study is a pretest-posttest quasi-experimental design. The study group consists of 42 volunteer senior university students (28 males, 14 females). While solo programming was performed in the control group, pair programming was performed in the experimental group. It was concluded that the flow experience of the experimental group was higher than that of the control group in four weeks of the six-week implementation, whereas the coding quality of the experimental group was higher in three weeks. No difference was found in the other weeks in terms of both flow experience and coding quality. Although the coding achievement of both the control and experimental groups increased in the study, the experimental group did not exhibit better performance in terms of coding achievement. In conclusion, since it was revealed in this study that pair programming is effective, it is recommended to use pair programming more frequently in educational settings."
Ömer Demir and Süleyman Sadi Seferoglu,"The Effect of Determining Pair Programming Groups According to Various Individual Difference Variables on Group Compatibility, Flow, and Coding Performance",Journal of Educational Computing Research,59,1,41–70,2021t,10.1177/0735633120949787,,"This study’s goal was to investigate the effect of homogeneous and heterogeneous pairs in terms of individual differences on group compatibility, flow, and coding performance in pair programming. In line with this goal, five individual difference variables of gender, learning style, friendship, the conscientiousness component of personality traits, and prior knowledge of coding were determined in order to use them in the determination of pairs in pair programming. In the quantitative section of this mixed study, a non-equivalent control group posttest only experimental design was utilized. Sixty-four volunteer university students were included in the study. As a result of the study, it was determined that the homogeneous group experienced a higher level of flow in the case of learning style. On the other hand, in the case of friendship, the homogeneous group experienced a higher level of flow, while the heterogeneous group demonstrated a higher level of coding performance. Concerning the conscientiousness component of personality traits, the heterogeneous group showed a higher level of coding performance. In line with these findings, suggestions for both researchers and practitioners of coding education were made in the full text."
Frank Di Silvestro and Hamid Nadir,The Power of ePortfolio Development to Foster Reflective and Deeper Learning in an Online Graduate Adult Education Program,Adult Learning,32,4,154–164,2021u,10.1177/1045159520977735,,"The current study addressed two problems in adult education: the lack of published research on the use of ePortfolios in graduate adult education, and more specifically, how can graduate adult educators utilize ePortfolios to foster reflective and deeper learning in a graduate adult education program? This was a 3-year qualitative study of 36 master’s students in their final capstone course in an online graduate adult education program. The primary research question was Can developing ePortfolios foster reflective and deeper learning in an online graduate adult education program? Researchers analyzed student responses to three guideline questions for the development of their ePortfolios: (a) What story did your ePortfolio tell?, (b) What surprised you?, and (c) What did you learn about yourself? These questions were designed to stimulate students’ thinking about their learning from the ePortfolio process, artifacts, and experience in the degree program. Through thematic analysis of student responses to these questions, three predominant themes emerged that provided evidence for reflective and deeper learning. The three themes were as follows: (a) Students became more reflective learners who frequently experienced deeper transformative learning, (b) Students were surprised by greater self-discovery and significant personal growth exceeding their expectations, and (c) Students found new personal strengths. Specific recommendations were provided about how to use ePortfolios in graduate adult education programs to foster reflective and deeper learning."
Chun Yan Enoch Sit and Siu-Cheung Kong,A Deep Learning Framework With Visualisation for Uncovering Students’ Learning Progression and Learning Bottlenecks,Journal of Educational Computing Research,62,1,223–249,2024v,10.1177/07356331231200600,,"Educational process mining aims (EPM) to help teachers understand the overall learning process of their students. Although deep learning models have shown promising results in many domains, the event log dataset in many online courses may not be large enough for deep learning models to approximate the probability distribution of students’ learning sequence due to a lack of participants. This study proposes a deep learning framework to help uncover the learning progression of learners. It aims to produce a graphical representation of the overall educational process from event logs. Our framework adopts the Smith–Waterman algorithm from the bioinformatics field to evaluate general learning sequences generated from deep learning models. Using our framework, we compare the performance of a deep learning model with the modified cross-attention layer and a model without modification and find that the modified model outperforms the other. The contribution of this framework is that it enables the use of neural architecture search techniques to uncover students’ general learning sequence irrespective of the dataset’s size. The framework also helps educators identify education materials that present as learning bottlenecks, enabling them to improve the materials and their respective layout order, thus facilitating student learning."
Ndudi Okechukwu Ezeamuzie and Mercy Noyenim Ezeamuzie,Multidimensional Framing of Environments Beyond Blocks and Texts in K–12 Programming,Review of Educational Research,0,0,00346543231216958,2024w,10.3102/00346543231216958,,"Computer programming provides a framework for interdisciplinary learning in sciences, arts and languages. However, increasing integration of programming in K–12 shows that the block-based and text-based dichotomy of programming environments does not reflect the spectrum of their affordance. Hence, educators are confronted with a fundamental hurdle of matching programming environments with learners’ cognitive abilities and learning objectives. This study addresses this challenge by analyzing 111 articles evaluating the affordances of programming environments to identify both structural and theoretical models to support educators’ choice of programming environments. The following dimensions of programming environments were identified: connectivity mode, interface natural language, language inheritance, age appropriateness, cost of environment, output interface, input interface, and project types. For each of these dimensions, the synthesis of the literature ranged from examining its nature and effect on learning programming to the implications of choosing an environment and the critical gaps that future studies should address. The findings offer instructors useful parameters to compare and assess programming environments’ suitability and alignment with learning objectives."
Enrico Gandolfi,You have got a (different) friend in me: Asymmetrical roles in gaming as potential ambassadors of computational and cooperative thinking,E-Learning and Digital Media,15,3,128–145,2018x,10.1177/2042753018757757,,
Xuemin Gao and Khe Foon Hew,A Flipped Systematic Debugging Approach to Enhance Elementary Students’ Program Debugging Performance and Optimize Cognitive Load,Journal of Educational Computing Research,61,5,1064–1095,2023y,10.1177/07356331221133560,,"Reintroducing computer science (CS) education in K–12 schools to promote computational thinking (CT) has attracted significant attention among scholars and educators. Among the several essential components included in CS and CT education, program debugging is an indispensable skill. However, debugging teaching has often been overlooked in K–12 contexts, and relevant empirical studies are lacking in the literature. Moreover, novices generally have poor performance in domain knowledge and strategic knowledge concerning debugging. They also consistently experience a high cognitive burden in debugging learning. To address these gaps, we developed a flipped systematic debugging approach combined with a systematic debugging process (SDP) and the modeling method. A quasi-experimental study was conducted to explore the effectiveness of this flipped systematic debugging approach, in which 83 fifth-grade students attended the flipped debugging training lessons with the SDP–modeling method, and 75 fifth-grade students attended the unassisted flipped debugging training lessons without the SDP–modeling method. The results indicated that flipped debugging training using the SDP–modeling method improved students’ debugging skills. The results from the questionnaire showed that the proposed teaching approach increased the students’ investment in germane cognitive load by promoting schema construction. It also helped reduce students’ intrinsic and extraneous cognitive load in learning."
Mustafa Serkan Günbatar,Flipped Classroom in Higher Education: Evaluation of the Process in the Framework of Community of Inquiry,Journal of Educational Technology Systems,50,2,215–254,2021z,10.1177/00472395211031660,,"The purpose of this research was to determine the effectiveness of the instruction process using the flipped classroom (FC) model within the scope of Computer Networks and Communication course. Theoretically, the community of inquiry model was taken as a reference and the effectiveness of the instruction process was evaluated accordingly. Students were preservice teachers studying Computer Education and Information Technology in the third grade in the Van region in Turkey. There were a total of 19 students, of which 12 are male and seven are female. FC process was carried out in the spring semester of 2018–2019 and lasted 11 weeks in total. A mixed-method design was used to gathering the data. Therefore, the research design was an explanatory design from mixed-methods designs. The quantitative data collection tool was the Turkish version of the Community of Inquiry Survey. The quantitative data were analyzed by dividing the students into very low, low, high, and very high levels. The qualitative data collection tool was the interview form created concerning the community of inquiry model. The qualitative data were analyzed by the use of the community of inquiry coding template’s themes. At the end of the instruction process, students had a very high level of cognitive, social, and teaching presence perception. This situation was detailed and supported with the qualitative data obtained. Concerning the cognitive presence, the students firstly talked about that they started the learning process with videos. Regarding the social presence, they mentioned the motivating effect of the questions. About the teaching presence, participants firstly mentioned the direct instruction role of the videos."
Astrid Gynnild,Journalism innovation leads to innovation journalism: The impact of computational exploration on changing mindsets,Journalism,15,6,713–730,2014aa,10.1177/1464884913486393,,"This article investigates a rapidly expanding branch of journalism innovation in online news media. The umbrella term computational exploration in journalism (CEJ), embraces the multifaceted development of algorithms, data, and social science methods in reporting and storytelling. CEJ typically involves the journalistic co-creation of quantitative news projects that transcend geographical, disciplinary, and linguistic boundaries. Drawing on extensive empirical data, this article provides a conceptual overview of the field by identifying three main pathways of computational exploration in journalism: the newsroom approach, the academic approach, and the entrepreneurial approach. Implications for changing journalistic practice are discussed, and the theorizing is summed up in a triplex proposition about changing mindset processes coming out of CEJ. The study indicates that the computational exploration not only leads to innovative uses of the technology, but also to innovative ways for journalists to think and behave; journalism innovation leads to innovation journalism."
Julia Hagge,Productivity Versus Sustainability: A Tale of Two Authors’ Engagement in Participatory Culture,"Literacy Research: Theory, Method, and Practice",72,1,200–217,2023ab,10.1177/23813377231182093,,"Although participatory culture promotes productive engagement in online spaces, members may respond in ways that constrain digital composition practices. This article provides theoretical and contextual background regarding a shift toward digital media production and programming-as-writing for youth. In addition, I describe the intersecting of computational thinking, computational participation, and participatory culture within Scratch, an online programming community. Findings from a descriptive case study focused on early adolescents as they engaged in digital media composition within an online programming community called Scratch are examined. Specifically, I discuss the contrast in the digital composition experiences of two participants as they leveraged participatory culture in the creation of digital media. This research highlights assumptions made regarding participatory cultures and the need to consider how to foster productive and sustainable digital literacy practices for youth in participatory cultures."
Maryann R. Hebda,Technology Talent Development: Beyond an Hour of Code,Gifted Child Today,46,2,108–118,2023ac,10.1177/10762175221149256,,"As technologically gifted students apply their abilities to computer science, they naturally flow through the talent development stages of potential, competency, and expertise. Processes that have always been important for gifted students to learn as they develop potential are embedded in learning code, which engages the beginning programmer in rich and complex authentic projects (Housand et al., 2017). As stakeholders present opportunities for open-ended, creative processes and products, the Computer Science Teachers Association (CSTA; 2017) and International Society for Technology in Education (ISTE; 2016) Standards can form guidelines for gifted students to self-direct their education through technology. Learning to code results in both cognitive and psychosocial skill development, including creative and critical thinking, logical and systematic reasoning, positive risk-taking and processing of feedback, perseverance through challenges, social skills, and collaboration."
Mario Hernández and Juan M Cebrián and José M Cecilia and José M García,Offloading strategies for Stencil kernels on the KNC Xeon Phi architecture: Accuracy versus performance,The International Journal of High Performance Computing Applications,34,2,199–207,2020ad,10.1177/1094342017738352,,"The ever-increasing computational requirements of HPC and service provider applications are becoming a great challenge for hardware and software designers. These requirements are reaching levels where the isolated development on either computational field is not enough to deal with such challenge. A holistic view of the computational thinking is therefore the only way to success in real scenarios. However, this is not a trivial task as it requires, among others, of hardware–software codesign. In the hardware side, most high-throughput computers are designed aiming for heterogeneity, where accelerators (e.g. Graphics Processing Units (GPUs), Field-Programmable Gate Arrays (FPGAs), etc.) are connected through high-bandwidth bus, such as PCI-Express, to the host CPUs. Applications, either via programmers, compilers, or runtime, should orchestrate data movement, synchronization, and so on among devices with different compute and memory capabilities. This increases the programming complexity and it may reduce the overall application performance. This article evaluates different offloading strategies to leverage heterogeneous systems, based on several cards with the first-generation Xeon Phi coprocessors (Knights Corner). We use a 11-point 3-D Stencil kernel that models heat dissipation as a case study. Our results reveal substantial performance improvements when using several accelerator cards. Additionally, we show that computing of an approximate result by reducing the communication overhead can yield 23% performance gains for double-precision data sets."
